100位	115,166,453 pt
500位	56,485,853 pt
1200位	17,850,935 pt
1300位	15,126,304 pt
1000位	24,628,464 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	251,882,439 pt
※04/13 00:01 集計時点 BYそくどん


100位	114,927,287 pt
500位	56,417,088 pt
1200位	17,850,935 pt
1300位	15,126,304 pt
1000位	24,628,464 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	251,882,439 pt
※04/13 00:00 集計時点 BYそくどん


100位	114,927,287 pt
500位	56,417,088 pt
1200位	17,806,933 pt
1300位	15,123,621 pt
1000位	24,557,776 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	251,882,439 pt
※04/12 23:59 集計時点 BYそくどん


100位	114,927,287 pt
500位	56,417,088 pt
1200位	17,806,933 pt
1300位	15,123,621 pt
1000位	24,557,776 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	251,882,439 pt
※04/12 23:58 集計時点 BYそくどん


100位	114,927,287 pt
500位	56,300,234 pt
1200位	17,790,632 pt
1300位	15,060,779 pt
1000位	24,557,776 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	251,450,563 pt
※04/12 23:56 集計時点 BYそくどん


100位	114,927,287 pt
500位	56,300,234 pt
1200位	17,790,632 pt
1300位	14,975,871 pt
1000位	24,557,776 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	248,743,132 pt
※04/12 23:55 集計時点 BYそくどん


100位	114,927,287 pt
500位	56,300,234 pt
1200位	17,774,791 pt
1300位	14,956,043 pt
1000位	24,503,344 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	248,743,132 pt
※04/12 23:53 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,300,234 pt
1200位	17,774,791 pt
1300位	14,956,043 pt
1000位	24,503,344 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	248,743,132 pt
※04/12 23:51 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,300,234 pt
1200位	17,734,833 pt
1300位	14,956,043 pt
1000位	24,483,250 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	248,345,654 pt
※04/12 23:50 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,300,234 pt
1200位	17,734,833 pt
1300位	14,950,207 pt
1000位	24,483,250 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	247,199,084 pt
※04/12 23:49 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,300,234 pt
1200位	17,734,833 pt
1300位	14,950,207 pt
1000位	24,482,022 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	245,827,308 pt
※04/12 23:48 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,292,602 pt
1200位	17,729,394 pt
1300位	14,950,207 pt
1000位	24,482,022 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	245,798,840 pt
※04/12 23:46 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,292,602 pt
1200位	17,729,394 pt
1300位	14,950,207 pt
1000位	24,482,022 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	245,798,840 pt
※04/12 23:45 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,254,954 pt
1200位	17,729,394 pt
1300位	14,950,207 pt
1000位	24,482,022 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	245,687,466 pt
※04/12 23:43 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,131,278 pt
1200位	17,713,099 pt
1300位	14,909,093 pt
1000位	24,477,923 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	245,687,466 pt
※04/12 23:41 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,131,278 pt
1200位	17,713,099 pt
1300位	14,909,093 pt
1000位	24,477,923 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	245,687,466 pt
※04/12 23:40 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,131,278 pt
1200位	17,713,099 pt
1300位	14,909,093 pt
1000位	24,450,697 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	245,687,466 pt
※04/12 23:39 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,131,278 pt
1200位	17,713,099 pt
1300位	14,909,093 pt
1000位	24,450,697 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	245,687,466 pt
※04/12 23:38 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,131,278 pt
1200位	17,713,099 pt
1300位	14,909,093 pt
1000位	24,391,729 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	245,687,466 pt
※04/12 23:36 集計時点 BYそくどん


100位	114,732,959 pt
500位	56,131,278 pt
1200位	17,713,099 pt
1300位	14,885,367 pt
1000位	24,391,729 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	245,687,466 pt
※04/12 23:35 集計時点 BYそくどん


100位	114,608,000 pt
500位	56,131,278 pt
1200位	17,691,163 pt
1300位	14,885,367 pt
1000位	24,391,729 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	245,687,466 pt
※04/12 23:33 集計時点 BYそくどん


100位	114,608,000 pt
500位	56,131,278 pt
1200位	17,685,816 pt
1300位	14,885,367 pt
1000位	24,391,729 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,753,003 pt
20位	245,687,466 pt
※04/12 23:31 集計時点 BYそくどん


100位	114,608,000 pt
500位	56,131,278 pt
1200位	17,678,728 pt
1300位	14,848,269 pt
1000位	24,391,729 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	245,687,466 pt
※04/12 23:30 集計時点 BYそくどん


100位	114,608,000 pt
500位	56,131,278 pt
1200位	17,678,728 pt
1300位	14,848,269 pt
1000位	24,391,729 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	245,458,152 pt
※04/12 23:29 集計時点 BYそくどん


100位	114,608,000 pt
500位	56,131,278 pt
1200位	17,678,728 pt
1300位	14,848,269 pt
1000位	24,389,506 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	245,458,152 pt
※04/12 23:28 集計時点 BYそくどん


100位	113,642,489 pt
500位	56,131,278 pt
1200位	17,678,728 pt
1300位	14,839,203 pt
1000位	24,314,766 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	245,221,194 pt
※04/12 23:26 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,999,989 pt
1200位	17,678,728 pt
1300位	14,808,814 pt
1000位	24,279,707 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	245,221,194 pt
※04/12 23:25 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,999,989 pt
1200位	17,649,374 pt
1300位	14,808,814 pt
1000位	24,279,707 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	245,221,194 pt
※04/12 23:23 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,999,989 pt
1200位	17,648,926 pt
1300位	14,808,814 pt
1000位	24,208,087 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	245,220,722 pt
※04/12 23:21 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,833,425 pt
1200位	17,642,517 pt
1300位	14,808,620 pt
1000位	24,208,087 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	244,716,231 pt
※04/12 23:20 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,833,425 pt
1200位	17,586,634 pt
1300位	14,808,620 pt
1000位	24,208,087 pt
	1位	854,623,765 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	244,506,026 pt
※04/12 23:19 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,833,425 pt
1200位	17,586,634 pt
1300位	14,808,620 pt
1000位	24,208,087 pt
	1位	838,581,697 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	244,291,999 pt
※04/12 23:18 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,629,059 pt
1200位	17,586,634 pt
1300位	14,808,620 pt
1000位	24,081,964 pt
	1位	828,063,908 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	244,291,999 pt
※04/12 23:16 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,629,059 pt
1200位	17,586,634 pt
1300位	14,808,620 pt
1000位	24,081,964 pt
	1位	826,872,060 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	244,291,999 pt
※04/12 23:15 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,600,721 pt
1200位	17,544,108 pt
1300位	14,808,620 pt
1000位	24,003,577 pt
	1位	813,387,123 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	244,291,863 pt
※04/12 23:13 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,503,363 pt
1200位	17,510,265 pt
1300位	14,808,620 pt
1000位	24,003,577 pt
	1位	791,639,456 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	244,291,863 pt
※04/12 23:11 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,503,363 pt
1200位	17,510,265 pt
1300位	14,808,620 pt
1000位	24,003,577 pt
	1位	791,639,456 pt
10位	396,196,194 pt
	11位	393,690,309 pt
20位	244,291,863 pt
※04/12 23:11 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,503,363 pt
1200位	17,510,265 pt
1300位	14,801,620 pt
1000位	24,003,577 pt
	1位	788,671,623 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	244,291,863 pt
※04/12 23:10 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,330,728 pt
1200位	17,510,265 pt
1300位	14,801,620 pt
1000位	24,003,577 pt
	1位	785,743,083 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	244,291,863 pt
※04/12 23:09 集計時点 BYそくどん


100位	113,642,489 pt
500位	55,205,017 pt
1200位	17,435,244 pt
1300位	14,801,620 pt
1000位	24,003,577 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	244,291,863 pt
※04/12 23:08 集計時点 BYそくどん


100位	113,548,932 pt
500位	55,049,961 pt
1200位	17,419,432 pt
1300位	14,801,620 pt
1000位	24,002,426 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	244,291,863 pt
※04/12 23:06 集計時点 BYそくどん


100位	113,548,932 pt
500位	55,035,479 pt
1200位	17,419,432 pt
1300位	14,801,620 pt
1000位	24,002,426 pt
	1位	785,709,801 pt
10位	396,196,194 pt
	11位	393,415,132 pt
20位	244,291,863 pt
※04/12 23:05 集計時点 BYそくどん


100位	113,548,932 pt
500位	55,000,937 pt
1200位	17,419,058 pt
1300位	14,801,620 pt
1000位	24,002,426 pt
