100位	1,294,979,222 pt
500位	768,746,627 pt
1200位	414,807,120 pt
1300位	307,043,371 pt
1000位	422,301,322 pt
1位	7,273,215,671 pt
10位	4,399,730,096 pt
11位	3,954,849,695 pt
20位	1,701,974,762 pt
700位	447,016,337 pt
765位	436,427,156 pt
770位	435,508,819 pt
300位	846,979,074 pt
1500位	180,222,444 pt
1999位	133,640,574 pt
2000位	133,573,866 pt
2999位	55,008,907 pt
3000位	54,987,831 pt
3999位	33,861,021 pt
4000位	33,859,765 pt
4999位	21,108,058 pt
5000位	21,102,071 pt
9999位	3,392,715 pt
10000位	3,392,618 pt
15000位	23,668 pt
20000位	0 pt
30000位	0 pt
※10/04 00:00 集計時点のポイントですBY SKDN
