100位	3,911,519,362 pt
500位	1,611,256,811 pt
1200位	1,041,117,384 pt
1300位	916,008,436 pt
1000位	1,095,527,179 pt
1位	20,081,245,981 pt
10位	9,457,250,822 pt
11位	8,765,346,315 pt
20位	7,000,411,131 pt
700位	1,258,451,136 pt
765位	1,210,811,531 pt
770位	1,208,919,436 pt
300位	1,968,584,159 pt
1500位	680,444,992 pt
1999位	458,386,638 pt
2000位	457,189,748 pt
2999位	215,211,192 pt
3000位	214,568,363 pt
3999位	127,001,708 pt
4000位	126,960,960 pt
4999位	72,395,838 pt
5000位	72,362,320 pt
9999位	6,861,649 pt
10000位	6,861,169 pt
15000位	244,800 pt
20000位	0 pt
30000位	0 pt
※12/01 00:00 集計時点のポイントですBY SKDN
