201408020731(201408020731	春日未来	610,717	595,991	590,998	590,781	587,485	572,666	558,815	534,010	529,850	510,144	
201408020731(201408020731	最上静香	644,430	643,763	643,698	634,679	618,299	604,540	600,645	594,888	584,949	560,064	
201408020731(201408020731	伊吹翼	713,873	703,574	687,355	681,818	659,078	657,533	636,122	634,972	626,757	622,655	
201408020731(201408020731	田中琴葉	592,200	575,484	564,019	536,104	508,432	485,121	484,018	479,942	469,963	465,193	
201408020732(201408020732	島原エレナ	415,713	395,147	365,963	355,185	337,007	335,817	330,088	314,430	285,859	249,316	
201408020732(201408020732	佐竹美奈子	666,664	663,143	657,468	609,711	605,008	596,987	581,923	581,419	573,540	569,048	
201408020732(201408020732	所恵美	651,034	635,398	634,486	625,306	624,468	621,972	611,276	588,821	585,962	559,885	
201408020732(201408020732	徳川まつり	563,232	545,899	536,328	533,953	523,332	485,800	483,985	465,937	463,615	463,353	
201408020732(201408020732	箱崎星梨花	679,991	654,204	615,094	597,404	542,098	517,205	515,404	503,376	502,560	492,808	
201408020732(201408020732	野々原茜	440,291	395,233	374,041	334,221	322,124	306,030	288,408	280,745	268,212	258,962	
201408020732(201408020732	望月杏奈	812,882	804,736	794,305	748,914	734,612	722,461	701,707	698,369	696,807	693,800	
201408020732(201408020732	ロコ	702,665	700,969	693,450	687,283	657,050	625,918	613,959	600,083	565,205	564,029	
201408020732(201408020732	七尾百合子	1,156,911	1,155,172	1,122,753	1,066,182	1,065,156	1,030,882	999,328	985,641	967,289	959,228	
201408020732(201408020732	高山紗代子	909,895	903,726	861,859	859,002	785,561	781,614	762,710	757,301	737,360	725,951	
201408020732(201408020732	松田亜利沙	450,603	448,755	448,186	444,733	437,943	427,872	412,670	369,146	353,302	351,611	
201408020733(201408020733	高坂海美	575,186	532,018	484,659	449,163	428,305	420,380	417,044	404,988	390,653	390,622	
201408020733(201408020733	中谷育	417,450	396,702	375,384	372,279	322,685	321,202	318,000	281,189	273,964	268,982	
201408020733(201408020733	天空橋朋花	626,901	620,853	596,920	566,786	539,796	536,407	526,134	523,020	482,863	416,097	
201408020733(201408020733	エミリー	369,144	351,883	326,753	320,276	307,108	289,856	283,101	276,611	273,019	261,851	
201408020733(201408020733	北沢志保	800,753	790,906	781,287	777,834	773,018	745,512	717,572	690,846	687,655	668,199	
201408020733(201408020733	舞浜歩	389,771	362,437	335,625	330,207	326,524	325,991	308,844	306,282	270,117	249,111	
201408020733(201408020733	木下ひなた	356,129	322,003	310,345	306,761	281,775	265,271	260,177	249,462	247,592	222,685	
201408020733(201408020733	矢吹可奈	499,557	494,809	480,620	450,393	440,391	436,497	435,469	433,399	427,897	422,270	
201408020733(201408020733	横山奈緒	672,710	663,804	652,162	610,156	555,681	548,567	546,012	532,645	527,540	526,805	
201408020733(201408020733	二階堂千鶴	579,059	572,797	552,340	525,806	502,001	498,277	452,334	440,477	431,350	403,934	
201408020733(201408020733	馬場このみ	665,612	665,050	658,783	647,415	647,250	619,016	560,757	515,823	513,726	474,030	
201408020734(201408020734	大神環	514,487	470,422	455,712	434,890	396,585	385,919	380,698	378,257	353,926	339,809	
201408020734(201408020734	豊川風花	566,063	553,999	546,844	538,189	531,404	525,218	524,772	514,795	463,099	456,364	
201408020734(201408020734	宮尾美也	611,614	588,110	573,803	559,980	543,011	510,254	507,509	488,564	473,494	438,615	
201408020734(201408020734	福田のり子	295,920	285,878	275,091	271,443	262,822	258,544	258,051	254,829	254,030	222,338	
201408020734(201408020734	真壁瑞希	558,760	556,366	547,099	533,169	532,093	531,755	529,921	502,370	501,184	500,915	
201408020734(201408020734	篠宮可憐	602,231	600,651	591,115	583,239	541,911	500,867	457,907	446,480	433,446	432,124	
201408020734(201408020734	百瀬莉緒	564,773	547,605	535,130	514,600	483,945	448,480	447,029	433,795	423,861	419,367	
201408020734(201408020734	永吉昴	642,643	641,635	628,192	618,648	614,990	614,101	611,587	604,039	593,082	591,828	
201408020734(201408020734	北上麗花	449,121	443,688	435,319	418,099	413,346	411,337	409,738	406,732	398,796	395,338	
201408020734(201408020734	周防桃子	806,760	764,035	749,561	745,770	740,140	728,754	713,359	702,017	681,535	680,443	
201408020735(201408020735	ジュリア	503,934	503,779	428,023	413,077	331,352	330,856	298,081	286,100	274,061	269,403	
201408020742(201408020742	春日未来	610,717	595,991	591,862	590,998	590,781	581,097	558,815	534,010	529,850	510,144	
201408020742(201408020742	最上静香	644,609	644,430	643,698	634,679	618,299	606,183	604,540	594,888	584,949	565,653	
201408020742(201408020742	伊吹翼	713,873	703,574	687,355	681,818	659,078	657,533	637,935	636,122	634,972	622,655	
201408020743(201408020743	田中琴葉	592,210	577,051	564,019	536,104	510,714	485,121	484,018	483,629	469,963	465,193	
201408020743(201408020743	島原エレナ	415,940	395,147	365,963	355,914	355,197	337,007	335,817	314,430	297,766	249,316	
201408020743(201408020743	佐竹美奈子	667,015	663,143	657,468	609,711	605,008	597,541	583,271	583,257	573,540	569,048	
201408020743(201408020743	所恵美	654,501	635,398	634,486	625,306	624,468	621,972	611,276	588,821	585,962	562,442	
201408020743(201408020743	徳川まつり	565,192	563,232	554,218	547,110	536,328	485,800	483,985	466,805	465,937	463,615	
201408020743(201408020743	箱崎星梨花	679,991	654,204	616,599	615,094	542,098	517,205	515,404	503,376	503,196	496,025	
201408020743(201408020743	野々原茜	440,291	395,233	374,041	334,221	322,124	306,030	288,408	280,745	268,212	258,962	
201408020743(201408020743	望月杏奈	812,882	804,736	794,305	751,680	748,914	722,461	719,466	698,369	696,807	693,800	
201408020743(201408020743	ロコ	714,704	702,665	693,450	689,535	681,601	625,918	613,959	600,083	565,205	564,029	
201408020743(201408020743	七尾百合子	1,179,289	1,155,172	1,123,052	1,088,462	1,066,453	1,030,882	1,011,703	999,328	969,065	967,234	
201408020744(201408020744	高山紗代子	909,895	903,726	887,147	861,859	785,561	781,614	762,710	757,301	737,360	725,951	
201408020744(201408020744	松田亜利沙	450,603	448,755	448,186	444,733	437,943	427,872	412,670	374,810	353,302	351,611	
201408020744(201408020744	高坂海美	575,186	532,018	484,659	449,183	433,639	420,380	417,044	404,988	396,484	390,653	
201408020744(201408020744	中谷育	417,450	396,702	379,041	375,384	323,122	321,202	319,265	281,189	273,964	268,982	
201408020744(201408020744	天空橋朋花	626,901	620,853	596,920	566,786	549,535	539,796	536,407	526,134	482,863	416,097	
201408020744(201408020744	エミリー	369,144	356,851	326,753	320,276	307,108	289,856	283,101	281,046	276,611	261,851	
