チーム春日未来1位	385849 pt
チーム春日未来2位	302080 pt
チーム春日未来3位	228852 pt
チーム春日未来4位	213288 pt
チーム春日未来5位	206912 pt
チーム春日未来6位	191798 pt
チーム春日未来7位	177362 pt
チーム春日未来8位	157871 pt
チーム春日未来9位	151112 pt
チーム春日未来10位	120949 pt
チーム春日未来11位	118735 pt
チーム春日未来12位	112911 pt
チーム春日未来13位	108208 pt
チーム春日未来14位	107759 pt
チーム春日未来15位	106921 pt
チーム春日未来16位	103927 pt
チーム春日未来17位	95862 pt
チーム春日未来18位	79701 pt
チーム春日未来19位	79037 pt
チーム春日未来20位	74951 pt
チーム春日未来21位	74469 pt
チーム春日未来22位	73758 pt
チーム春日未来23位	71497 pt
チーム春日未来24位	64586 pt
チーム春日未来25位	56694 pt
チーム春日未来26位	56077 pt
チーム春日未来27位	53284 pt
チーム春日未来28位	52984 pt
チーム春日未来29位	51741 pt
チーム春日未来30位	47669 pt
チーム最上静香1位	1406480 pt
チーム最上静香2位	578336 pt
チーム最上静香3位	439831 pt
チーム最上静香4位	199738 pt
チーム最上静香5位	193996 pt
チーム最上静香6位	182210 pt
チーム最上静香7位	174926 pt
チーム最上静香8位	167043 pt
チーム最上静香9位	157877 pt
チーム最上静香10位	156637 pt
チーム最上静香11位	113223 pt
チーム最上静香12位	108514 pt
チーム最上静香13位	105425 pt
チーム最上静香14位	101403 pt
チーム最上静香15位	97220 pt
チーム最上静香16位	91352 pt
チーム最上静香17位	85813 pt
チーム最上静香18位	79179 pt
チーム最上静香19位	71003 pt
チーム最上静香20位	69633 pt
チーム最上静香21位	69245 pt
チーム最上静香22位	65840 pt
チーム最上静香23位	61107 pt
チーム最上静香24位	57757 pt
チーム最上静香25位	56864 pt
チーム最上静香26位	53196 pt
チーム最上静香27位	51999 pt
チーム最上静香28位	50219 pt
チーム最上静香29位	47336 pt
チーム最上静香30位	47304 pt
チーム伊吹翼1位	322495 pt
チーム伊吹翼2位	285301 pt
チーム伊吹翼3位	285206 pt
チーム伊吹翼4位	265072 pt
チーム伊吹翼5位	242154 pt
チーム伊吹翼6位	207190 pt
チーム伊吹翼7位	171356 pt
チーム伊吹翼8位	169272 pt
チーム伊吹翼9位	148610 pt
チーム伊吹翼10位	146832 pt
チーム伊吹翼11位	133640 pt
チーム伊吹翼12位	129393 pt
チーム伊吹翼13位	102706 pt
チーム伊吹翼14位	100019 pt
チーム伊吹翼15位	97957 pt
チーム伊吹翼16位	97606 pt
チーム伊吹翼17位	78690 pt
チーム伊吹翼18位	77474 pt
チーム伊吹翼19位	70635 pt
チーム伊吹翼20位	68340 pt
チーム伊吹翼21位	65325 pt
チーム伊吹翼22位	61244 pt
チーム伊吹翼23位	54041 pt
チーム伊吹翼24位	49026 pt
チーム伊吹翼25位	47528 pt
チーム伊吹翼26位	46425 pt
チーム伊吹翼27位	45466 pt
チーム伊吹翼28位	45191 pt
チーム伊吹翼29位	36354 pt
チーム伊吹翼30位	35613 pt
チーム田中琴葉1位	1603742 pt
チーム田中琴葉2位	702483 pt
チーム田中琴葉3位	559743 pt
チーム田中琴葉4位	533361 pt
チーム田中琴葉5位	470216 pt
チーム田中琴葉6位	372297 pt
チーム田中琴葉7位	298308 pt
チーム田中琴葉8位	294274 pt
チーム田中琴葉9位	253937 pt
チーム田中琴葉10位	246054 pt
チーム田中琴葉11位	236760 pt
チーム田中琴葉12位	213987 pt
チーム田中琴葉13位	193644 pt
チーム田中琴葉14位	165105 pt
チーム田中琴葉15位	162344 pt
チーム田中琴葉16位	153990 pt
チーム田中琴葉17位	151695 pt
チーム田中琴葉18位	148405 pt
チーム田中琴葉19位	146696 pt
チーム田中琴葉20位	143884 pt
チーム田中琴葉21位	142758 pt
チーム田中琴葉22位	137566 pt
チーム田中琴葉23位	135692 pt
チーム田中琴葉24位	132569 pt
チーム田中琴葉25位	124962 pt
チーム田中琴葉26位	123830 pt
チーム田中琴葉27位	123200 pt
チーム田中琴葉28位	119807 pt
チーム田中琴葉29位	109250 pt
チーム田中琴葉30位	106216 pt
チーム島原エレナ1位	477175 pt
チーム島原エレナ2位	423461 pt
チーム島原エレナ3位	287420 pt
チーム島原エレナ4位	230023 pt
チーム島原エレナ5位	207045 pt
チーム島原エレナ6位	198105 pt
チーム島原エレナ7位	187510 pt
チーム島原エレナ8位	172696 pt
チーム島原エレナ9位	166466 pt
チーム島原エレナ10位	152197 pt
チーム島原エレナ11位	114568 pt
チーム島原エレナ12位	112386 pt
チーム島原エレナ13位	111929 pt
チーム島原エレナ14位	96228 pt
チーム島原エレナ15位	82058 pt
チーム島原エレナ16位	67956 pt
チーム島原エレナ17位	64910 pt
チーム島原エレナ18位	60695 pt
チーム島原エレナ19位	55919 pt
チーム島原エレナ20位	53931 pt
チーム島原エレナ21位	47500 pt
チーム島原エレナ22位	45584 pt
チーム島原エレナ23位	45309 pt
チーム島原エレナ24位	43011 pt
チーム島原エレナ25位	37994 pt
チーム島原エレナ26位	37009 pt
チーム島原エレナ27位	36751 pt
チーム島原エレナ28位	35432 pt
チーム島原エレナ29位	32580 pt
チーム島原エレナ30位	29023 pt
チーム佐竹美奈子1位	438080 pt
チーム佐竹美奈子2位	392500 pt
チーム佐竹美奈子3位	375000 pt
チーム佐竹美奈子4位	309891 pt
チーム佐竹美奈子5位	284903 pt
チーム佐竹美奈子6位	242704 pt
チーム佐竹美奈子7位	241160 pt
チーム佐竹美奈子8位	189200 pt
チーム佐竹美奈子9位	185415 pt
チーム佐竹美奈子10位	182948 pt
チーム佐竹美奈子11位	178603 pt
チーム佐竹美奈子12位	153702 pt
チーム佐竹美奈子13位	153308 pt
チーム佐竹美奈子14位	125444 pt
チーム佐竹美奈子15位	118544 pt
チーム佐竹美奈子16位	114048 pt
チーム佐竹美奈子17位	112420 pt
チーム佐竹美奈子18位	111173 pt
チーム佐竹美奈子19位	105624 pt
チーム佐竹美奈子20位	103442 pt
