Happy Rabbit	500000000000000080	334851660
ニジ🌈モン＠MR23:20〜	421	264664593
KisS	200000000000000655	235943027
（＊＞△＜）＜ 7144プロ	1100000000000000441	224913536
プロジェクトイオリー	200000000000000623	157032280
機関銃🍁グリメ確認下さい	400000000000000749	120769721
HHV(仮)	500000000000000502	108266786
72LOVERS	200000000000000245	97319870
もちょ(●・▽・●)	10	97224656
N@DESHIKO	3583	93265228
試し読みの向こう側へ！	1300000000000003983	86821162
F@ll ahead P	1000000000000001141	38998645
Ｈ@ＰＰＹＰＩＥＣＥ	1701	36567633
シアターの日常	700000000000003219	34823676
FutureRecords	900000000000001612	34127210
ClariS	1300000000000001111	33872581
もやしPARTY！	300000000000000433	33169612
はろ＠MR掲示板	300000000000001206	32388874
AGUNESU	400000000000001061	31837360
オカズラウンジ	1000000000000000171	30627377
※12/11 19:08 集計時点 BYそくどん

Happy Rabbit	500000000000000080	334851660
ニジ🌈モン＠MR23:20〜	421	264664593
KisS	200000000000000655	235943027
（＊＞△＜）＜ 7144プロ	1100000000000000441	224913536
プロジェクトイオリー	200000000000000623	157032280
機関銃🍁グリメ確認下さい	400000000000000749	120769721
HHV(仮)	500000000000000502	108266786
72LOVERS	200000000000000245	97319870
もちょ(●・▽・●)	10	97224656
N@DESHIKO	3583	93265228
試し読みの向こう側へ！	1300000000000003983	86821162
F@ll ahead P	1000000000000001141	38998645
Ｈ@ＰＰＹＰＩＥＣＥ	1701	36567633
シアターの日常	700000000000003219	34823676
FutureRecords	900000000000001612	34127210
ClariS	1300000000000001111	33872581
もやしPARTY！	300000000000000433	33169612
はろ＠MR掲示板	300000000000001206	32388874
AGUNESU	400000000000001061	31837360
オカズラウンジ	1000000000000000171	30627377
※12/11 19:06 集計時点 BYそくどん

Happy Rabbit	500000000000000080	334851660
ニジ🌈モン＠MR23:20〜	421	264664593
KisS	200000000000000655	235943027
（＊＞△＜）＜ 7144プロ	1100000000000000441	224913536
プロジェクトイオリー	200000000000000623	157032280
