HHV(仮)	500000000000000502	3958223
プロジェクトイオリー	200000000000000623	3867645
とかち組(o・&nabla;・o)	3	3610962
7144プロ@EVO	1100000000000000441	2534844
765PRO	600000000000000108	2290201
H@PPYPIECE	1701	2171315
TrySail	1500000000000003422	1918269
アイドルと機関銃🐶	400000000000000749	1642857
もう時間がないんです！	1400000000000004684	1438592
テンペスト	100000000000004931	1102218
未 定	500000000000004642	1060142
中二病でも恋がしたい・戀	200000000000001454	1049742
N@DESHIKO	3583	1025115
ソプラノ@掲示板要確認	200000000000001721	943483
新月会	700000000000004707	869199
眠り姫	400000000000003936	848702
mayちゃん家	700000000000000877	844949
どん☆きちファミリー	600000000000003799	842422
いさましいちび	1100000000000004073	794303
Happy Darling	1000000000000001389	768143
※06/22 19:13 集計時点 BYそくどん

HHV(仮)	500000000000000502	3958223
プロジェクトイオリー	200000000000000623	3867645
とかち組(o・&nabla;・o)	3	3610962
7144プロ@EVO	1100000000000000441	2534844
765PRO	600000000000000108	2290201
H@PPYPIECE	1701	2171315
TrySail	1500000000000003422	1918269
アイドルと機関銃🐶	400000000000000749	1642857
もう時間がないんです！	1400000000000004684	1438592
テンペスト	100000000000004931	1102218
未 定	500000000000004642	1060142
中二病でも恋がしたい・戀	200000000000001454	1049742
N@DESHIKO	3583	1025115
ソプラノ@掲示板要確認	200000000000001721	943483
新月会	700000000000004707	869199
眠り姫	400000000000003936	848702
mayちゃん家	700000000000000877	844949
どん☆きちファミリー	600000000000003799	842422
いさましいちび	1100000000000004073	794303
Happy Darling	1000000000000001389	768143
※06/22 19:12 集計時点 BYそくどん

HHV(仮)	500000000000000502	3958223
プロジェクトイオリー	200000000000000623	3867645
とかち組(o・&nabla;・o)	3	3610962
7144プロ@EVO	1100000000000000441	2534844
765PRO	600000000000000108	2290201
H@PPYPIECE	1701	2171315
TrySail	1500000000000003422	1918269
アイドルと機関銃🐶	400000000000000749	1642857
もう時間がないんです！	1400000000000004684	1438592
テンペスト	100000000000004931	1102218
未 定	500000000000004642	1060142
中二病でも恋がしたい・戀	200000000000001454	1049742
N@DESHIKO	3583	1025115
ソプラノ@掲示板要確認	200000000000001721	943483
新月会	700000000000004707	869199
眠り姫	400000000000003936	848702
mayちゃん家	700000000000000877	844949
どん☆きちファミリー	600000000000003799	842422
いさましいちび	1100000000000004073	794303
Happy Darling	1000000000000001389	768143
※06/22 19:11 集計時点 BYそくどん

HHV(仮)	500000000000000502	3958223
プロジェクトイオリー	200000000000000623	3867645
とかち組(o・&nabla;・o)	3	3610962
7144プロ@EVO	1100000000000000441	2534844
765PRO	600000000000000108	2290201
H@PPYPIECE	1701	2171315
TrySail	1500000000000003422	1918269
アイドルと機関銃🐶	400000000000000749	1642857
もう時間がないんです！	1400000000000004684	1438592
テンペスト	100000000000004931	1102218
未 定	500000000000004642	1060142
中二病でも恋がしたい・戀	200000000000001454	1049742
N@DESHIKO	3583	1025115
ソプラノ@掲示板要確認	200000000000001721	943483
新月会	700000000000004707	869199
眠り姫	400000000000003936	848702
mayちゃん家	700000000000000877	844949
どん☆きちファミリー	600000000000003799	842422
いさましいちび	1100000000000004073	794303
Happy Darling	1000000000000001389	768143
※06/22 19:10 集計時点 BYそくどん

HHV(仮)	500000000000000502	3958223
プロジェクトイオリー	200000000000000623	3867645
とかち組(o・&nabla;・o)	3	3610962
7144プロ@EVO	1100000000000000441	2534844
765PRO	600000000000000108	2290201
H@PPYPIECE	1701	2171315
TrySail	1500000000000003422	1918269
アイドルと機関銃🐶	400000000000000749	1642857
もう時間がないんです！	1400000000000004684	1438592
テンペスト	100000000000004931	1102218
未 定	500000000000004642	1060142
中二病でも恋がしたい・戀	200000000000001454	1049742
N@DESHIKO	3583	1025115
ソプラノ@掲示板要確認	200000000000001721	943483
新月会	700000000000004707	869199
眠り姫	400000000000003936	848702
mayちゃん家	700000000000000877	844949
どん☆きちファミリー	600000000000003799	842422
いさましいちび	1100000000000004073	794303
Happy Darling	1000000000000001389	768143
※06/22 19:09 集計時点 BYそくどん

HHV(仮)	500000000000000502	3958223
プロジェクトイオリー	200000000000000623	3867645
とかち組(o・&nabla;・o)	3	3610962
7144プロ@EVO	1100000000000000441	2534844
765PRO	600000000000000108	2290201
H@PPYPIECE	1701	2171315
TrySail	1500000000000003422	1918269
アイドルと機関銃🐶	400000000000000749	1642857
もう時間がないんです！	1400000000000004684	1438592
テンペスト	100000000000004931	1102218
未 定	500000000000004642	1060142
中二病でも恋がしたい・戀	200000000000001454	1049742
N@DESHIKO	3583	1025115
