プロジェクトイオリー	200000000000000623	15418373
H@PPYPIECE	1701	11390159
アイドルと機関銃🐶	400000000000000749	10969025
とかち組(o・&nabla;・o)	3	10291652
TrySail	1500000000000003422	10159501
7144プロ@EVO	1100000000000000441	10112301
HHV(仮)	500000000000000502	8324037
765PRO	600000000000000108	6039033
N@DESHIKO	3583	5240145
KisS	200000000000000655	4196982
違法性はない&hellip;のか&hellip;？	1000000000000001661	3482837
中二病でも恋がしたい・戀	200000000000001454	3436410
自由テンペスト党	100000000000004931	3128331
新月会	700000000000004707	2461327
SLeePiNg FoReSt	600000000000004924	2399355
Dream👆ng!家	600000000000004925	2027954
Happy Darling	1000000000000001389	1973329
septentrion	400000000000004049	1931632
もう時間がないんです！	1400000000000004684	1900579
チーズ屋BBfes&#039;16	1100000000000000150	1875338
※06/23 00:02 集計時点 BYそくどん

プロジェクトイオリー	200000000000000623	15418373
H@PPYPIECE	1701	11390159
アイドルと機関銃🐶	400000000000000749	10969025
とかち組(o・&nabla;・o)	3	10291652
TrySail	1500000000000003422	10159501
7144プロ@EVO	1100000000000000441	10112301
HHV(仮)	500000000000000502	8324037
765PRO	600000000000000108	6039033
N@DESHIKO	3583	5240145
KisS	200000000000000655	4196982
違法性はない&hellip;のか&hellip;？	1000000000000001661	3482837
中二病でも恋がしたい・戀	200000000000001454	3436410
自由テンペスト党	100000000000004931	3128331
新月会	700000000000004707	2461327
SLeePiNg FoReSt	600000000000004924	2399355
Dream👆ng!家	600000000000004925	2027954
Happy Darling	1000000000000001389	1973329
septentrion	400000000000004049	1931632
もう時間がないんです！	1400000000000004684	1900579
チーズ屋BBfes&#039;16	1100000000000000150	1875338
※06/23 00:01 集計時点 BYそくどん

プロジェクトイオリー	200000000000000623	15389685
H@PPYPIECE	1701	11153005
アイドルと機関銃🐶	400000000000000749	10785425
とかち組(o・&nabla;・o)	3	10291652
TrySail	1500000000000003422	10159501
7144プロ@EVO	1100000000000000441	10112301
HHV(仮)	500000000000000502	8287699
765PRO	600000000000000108	6039033
N@DESHIKO	3583	5232495
KisS	200000000000000655	4196982
違法性はない&hellip;のか&hellip;？	1000000000000001661	3482837
中二病でも恋がしたい・戀	200000000000001454	3407569
第3者の判断に委ねます	100000000000004931	3128331
新月会	700000000000004707	2461327
SLeePiNg FoReSt	600000000000004924	2399355
Happy Darling	1000000000000001389	1973329
Dream👆ng!家	600000000000004925	1936154
septentrion	400000000000004049	1931632
もう時間がないんです！	1400000000000004684	1900579
チーズ屋BBfes&#039;16	1100000000000000150	1875338
※06/23 00:00 集計時点 BYそくどん

プロジェクトイオリー	200000000000000623	15332309
H@PPYPIECE	1701	11009565
アイドルと機関銃🐶	400000000000000749	10636249
とかち組(o・&nabla;・o)	3	10291652
7144プロ@EVO	1100000000000000441	10112301
TrySail	1500000000000003422	9734925
HHV(仮)	500000000000000502	8251361
765PRO	600000000000000108	6010345
