TrySail	10	10761518
中二病..姉妹..グロスト	200000000000001454	9587643
アイドルと機関銃🌻夏	400000000000000749	9053325
765飯店	1000000000000000962	8258097
765PRO	600000000000000108	7926335
プロジェクトイオリー	200000000000000623	6778287
7144プロ	1100000000000000441	3947629
新月会	700000000000004707	3421816
ナイスゲームありがとう✌️	600000000000004925	3139925
お姉ちゃんのマッタリ部屋	1124	2921782
ぷらちなすたーず☆彡	1400000000000004882	2799126
LiFE!	1200000000000004966	2303243
765ラウンジ	600000000000003213	2238847
winkle	800000000000001372	2053166
HHV(仮)	500000000000000502	1957508
年増園	300000000000000689	1919407
おまつり日和	500000000000004731	1910955
ソプラノ歌劇団	200000000000001721	1802624
ミリPの集い	100000000000003573	1787919
w@ve	400000000000000065	1776747
※08/18 19:11 集計時点 BYそくどん

TrySail	10	10761518
中二病..姉妹..グロスト	200000000000001454	9587643
アイドルと機関銃🌻夏	400000000000000749	9053325
765飯店	1000000000000000962	8258097
765PRO	600000000000000108	7926335
プロジェクトイオリー	200000000000000623	6778287
7144プロ	1100000000000000441	3947629
新月会	700000000000004707	3421816
ナイスゲームありがとう✌️	600000000000004925	3139925
お姉ちゃんのマッタリ部屋	1124	2921782
ぷらちなすたーず☆彡	1400000000000004882	2799126
LiFE!	1200000000000004966	2303243
765ラウンジ	600000000000003213	2238847
winkle	800000000000001372	2053166
HHV(仮)	500000000000000502	1957508
年増園	300000000000000689	1919407
おまつり日和	500000000000004731	1910955
ソプラノ歌劇団	200000000000001721	1802624
ミリPの集い	100000000000003573	1787919
w@ve	400000000000000065	1776747
※08/18 19:10 集計時点 BYそくどん

TrySail	10	10761518
中二病..姉妹..グロスト	200000000000001454	9587643
アイドルと機関銃🌻夏	400000000000000749	9053325
765飯店	1000000000000000962	8258097
765PRO	600000000000000108	7926335
プロジェクトイオリー	200000000000000623	6778287
7144プロ	1100000000000000441	3947629
新月会	700000000000004707	3421816
ナイスゲームありがとう✌️	600000000000004925	3139925
お姉ちゃんのマッタリ部屋	1124	2921782
ぷらちなすたーず☆彡	1400000000000004882	2799126
LiFE!	1200000000000004966	2303243
765ラウンジ	600000000000003213	2238847
winkle	800000000000001372	2053166
HHV(仮)	500000000000000502	1957508
年増園	300000000000000689	1919407
おまつり日和	500000000000004731	1910955
ソプラノ歌劇団	200000000000001721	1802624
ミリPの集い	100000000000003573	1787919
w@ve	400000000000000065	1776747
※08/18 19:09 集計時点 BYそくどん

TrySail	10	10761518
中二病..姉妹..グロスト	200000000000001454	9587643
アイドルと機関銃🌻夏	400000000000000749	9053325
765飯店	1000000000000000962	8258097
765PRO	600000000000000108	7926335
プロジェクトイオリー	200000000000000623	6778287
7144プロ	1100000000000000441	3947629
新月会	700000000000004707	3421816
ナイスゲームありがとう✌️	600000000000004925	3139925
お姉ちゃんのマッタリ部屋	1124	2921782
