100位	6341089 pt
500位	3568208 pt
1200位	2525521 pt
1300位	1956409 pt
1000位	2723974 pt
1位	74334825 pt
10位	34409315 pt
11位	34260403 pt
20位	16241649 pt
300位	4150315 pt
1999位	841181 pt
2000位	841004 pt
2999位	524862 pt
3000位	524833 pt
3999位	379075 pt
4000位	379060 pt
9999位	99473 pt
10000位	99445 pt
15000位	11078 pt
20000位	0 pt
30000位	0 pt
ラウンジ1位	296940358 pt
ラウンジ10位	99088211 pt
ラウンジ11位	96640333 pt
ラウンジ20位	42445942 pt
ラウンジ30位	33222809 pt
ラウンジ100位	14323689 pt
ラウンジ300位	5408196 pt
ラウンジ1000位	852066 pt
※04/24 12:46 集計時点のポイントですBY SKDN
