ラウンジ5001位	ID:1300000000000000200	765ボンビラス高槻		LID;100000000000001031
ラウンジ5002位	ID:100000000000001031	ハイレグテディベア		LID;1000000000000001126
ラウンジ5003位	ID:1000000000000001126	エゴイスト		LID;500000000000004687
ラウンジ5004位	ID:500000000000004687	SSA		LID;100000000000000337
ラウンジ5005位	ID:100000000000000337	まったりマイペース		LID;1582
ラウンジ5006位	ID:1582	アインハルト		LID;1051
ラウンジ5007位	ID:1051	えんかうんと70		LID;5129
ラウンジ5008位	ID:5129	346プロ		LID;379
ラウンジ5009位	ID:379	ユニヴァース！！		LID;1200000000000003239
ラウンジ5010位	ID:1200000000000003239	１１連が全部ＲのＨＢ共		LID;1100000000000001539
ラウンジ5011位	ID:1100000000000001539	増殖するはるかさん		LID;1200000000000002224
ラウンジ5012位	ID:1200000000000002224	STAR☆ANISを愛でる会		LID;800000000000004995
ラウンジ5013位	ID:800000000000004995	篠竹		LID;200000000000003902
ラウンジ5014位	ID:200000000000003902	歌と昼寝とｵﾚﾝｼﾞｼﾞｭｰｽ		LID;100000000000001540
ラウンジ5015位	ID:100000000000001540	ぼちぼち		LID;965
ラウンジ5016位	ID:965	小台		LID;800000000000001407
ラウンジ5017位	ID:800000000000001407	shooting star		LID;400000000000000271
ラウンジ5018位	ID:400000000000000271	garam masala		LID;500000000000001066
ラウンジ5019位	ID:500000000000001066	東空紅		LID;300000000000001591
ラウンジ5020位	ID:300000000000001591	ヴィーナス・マネジメント		LID;1100000000000003173
ラウンジ5021位	ID:1100000000000003173	生っすか！サンデー		LID;900000000000003462
ラウンジ5022位	ID:900000000000003462	根こそぎフランケン		LID;700000000000003697
ラウンジ5023位	ID:700000000000003697	迫真空手部		LID;537
ラウンジ5024位	ID:537	ナボナラウンジ		LID;900000000000004966
ラウンジ5025位	ID:900000000000004966	天空騎士団(仮)		LID;2136
ラウンジ5026位	ID:2136	言の葉の庭		LID;1500000000000001431
ラウンジ5027位	ID:1500000000000001431	ぽわぽわ		LID;1100000000000001410
ラウンジ5028位	ID:1100000000000001410	まったり御膳		LID;1500000000000002373
ラウンジ5029位	ID:1500000000000002373	TK		LID;100000000000000165
ラウンジ5030位	ID:100000000000000165	765劇団		LID;200000000000000953
ラウンジ5031位	ID:200000000000000953	platinum78		LID;900000000000002157
ラウンジ5032位	ID:900000000000002157	昼オンパスタ		LID;692
ラウンジ5033位	ID:692	zzz		LID;1400000000000001435
ラウンジ5034位	ID:1400000000000001435	アリス		LID;12
ラウンジ5035位	ID:12	きままなプロ		LID;800000000000000806
ラウンジ5036位	ID:800000000000000806	IDOL  P@RK		LID;700000000000004770
ラウンジ5037位	ID:700000000000004770	（＾ω＾）		LID;1400000000000001168
ラウンジ5038位	ID:1400000000000001168	ドルマスっ！		LID;500000000000003843
ラウンジ5039位	ID:500000000000003843	BSAAミリマス支部		LID;900000000000005158
ラウンジ5040位	ID:900000000000005158	プラリネ		LID;800000000000003702
ラウンジ5041位	ID:800000000000003702	霧切探偵事務所		LID;1100000000000001240
ラウンジ5042位	ID:1100000000000001240	eight		LID;1100000000000001184
ラウンジ5043位	ID:1100000000000001184	猫と猫と猫の国		LID;1500000000000002404
ラウンジ5044位	ID:1500000000000002404	ほのぼのラウンジ		LID;1500000000000004780
ラウンジ5045位	ID:1500000000000004780	IMBER		LID;500000000000004265
ラウンジ5046位	ID:500000000000004265	EXIA		LID;200000000000003632
ラウンジ5047位	ID:200000000000003632	☆７６５☆		LID;1100000000000001068
ラウンジ5048位	ID:1100000000000001068	真派閥		LID;1866
ラウンジ5049位	ID:1866	Fard		LID;100000000000002977
ラウンジ5050位	ID:100000000000002977	A		LID;1438
ラウンジ5051位	ID:1438	眼鏡推進委員会		LID;100000000000003505
ラウンジ5052位	ID:100000000000003505	まったーりラウンジ		LID;200000000000002601
ラウンジ5053位	ID:200000000000002601	ダチョウ倶楽部		LID;200000000000000374
ラウンジ5054位	ID:200000000000000374	ﾎﾞﾝﾔﾘﾗｳﾝｼﾞ		LID;500000000000001061
ラウンジ5055位	ID:500000000000001061	I.T.B.S		LID;1300000000000003596
ラウンジ5056位	ID:1300000000000003596	Bin1production		LID;2145
ラウンジ5057位	ID:2145	SOS団		LID;1200000000000000890
ラウンジ5058位	ID:1200000000000000890	ぷちM＠S		LID;1500000000000001180
ラウンジ5059位	ID:1500000000000001180	あくび娘。		LID;656
ラウンジ5060位	ID:656	インペリアル		LID;100000000000003861
ラウンジ5061位	ID:100000000000003861	プリンセススターズ		LID;1030
ラウンジ5062位	ID:1030	ここへおいで		LID;900000000000001398
ラウンジ5063位	ID:900000000000001398	うみみみっくす		LID;1500000000000004848
ラウンジ5064位	ID:1500000000000004848	筋肉旋風		LID;1100000000000004972
ラウンジ5065位	ID:1100000000000004972	東山ブランドー		LID;4956
ラウンジ5066位	ID:4956	I.D.O.L!		LID;900000000000002070
ラウンジ5067位	ID:900000000000002070	ラウンジ		LID;200000000000002115
ラウンジ5068位	ID:200000000000002115	クッキー		LID;200000000000000537
ラウンジ5069位	ID:200000000000000537	ヒロシ		LID;600000000000000852
ラウンジ5070位	ID:600000000000000852	テストトルフィーヤ		LID;1400000000000000441
ラウンジ5071位	ID:1400000000000000441	D,Corps.		LID;100000000000003425
ラウンジ5072位	ID:100000000000003425	通りすがりの中二病たち		LID;1462
ラウンジ5073位	ID:1462	＊Step of Spring＊		LID;338
ラウンジ5074位	ID:338	碧屋		LID;100000000000002758
ラウンジ5075位	ID:100000000000002758	ノンビリのんびり		LID;100000000000000635
ラウンジ5076位	ID:100000000000000635	誰でもいいから愛でる会		LID;100000000000005105
ラウンジ5077位	ID:100000000000005105	ゆゆほ?		LID;1000000000000005312
ラウンジ5078位	ID:1000000000000005312	L.I.J		LID;1000000000000002630
ラウンジ5079位	ID:1000000000000002630	俺と俺の大五郎		LID;1500000000000004801
ラウンジ5080位	ID:1500000000000004801	GO院'!!!		LID;5120
ラウンジ5081位	ID:5120	012プロ		LID;1476
ラウンジ5082位	ID:1476	ばっく☆どろっぷ		LID;700000000000004127
ラウンジ5083位	ID:700000000000004127	十二方位		LID;100000000000000190
ラウンジ5084位	ID:100000000000000190	モーニング・グローリー		LID;200000000000004570
ラウンジ5085位	ID:200000000000004570	はるか 生すか！		LID;1100000000000000399
ラウンジ5086位	ID:1100000000000000399	ホビキン		LID;4008
ラウンジ5087位	ID:4008	羽生蛇村		LID;1100000000000001404
ラウンジ5088位	ID:1100000000000001404	数寄の「び」学		LID;1200000000000001168
ラウンジ5089位	ID:1200000000000001168	クィーンビーレ		LID;1092
ラウンジ5090位	ID:1092	あずささんを愛でる会		LID;100000000000004110
ラウンジ5091位	ID:100000000000004110	アイドル育成		LID;3369
ラウンジ5092位	ID:3369	_(:3」∠)_		LID;200000000000005013
ラウンジ5093位	ID:200000000000005013	二つ結び愛好会		LID;300000000000004601
ラウンジ5094位	ID:300000000000004601	765production		LID;500000000000001328
ラウンジ5095位	ID:500000000000001328	仲間だもんげ!		LID;1000000000000000665
ラウンジ5096位	ID:1000000000000000665	swallows		LID;100000000000004442
ラウンジ5097位	ID:100000000000004442	Ahih rei-yah		LID;100000000000000155
ラウンジ5098位	ID:100000000000000155	まっこりんりん		LID;1500000000000001801
ラウンジ5099位	ID:1500000000000001801	765 オフィサー		LID;400000000000002621
ラウンジ5100位	ID:400000000000002621	ジャイアント		LID;300000000000005279
ラウンジ5101位	ID:300000000000005279	らうんじ		LID;1100000000000002307
ラウンジ5102位	ID:1100000000000002307	下町シスターズ		LID;400000000000002769
ラウンジ5103位	ID:400000000000002769	うやトンベイ		LID;1429
ラウンジ5104位	ID:1429	765ラウンジ		LID;900000000000000593
ラウンジ5105位	ID:900000000000000593	ノーチラス		LID;1000000000000002751
ラウンジ5106位	ID:1000000000000002751	フォトンストリーム		LID;1997
ラウンジ5107位	ID:1997	亜美ロケット		LID;2365
ラウンジ5108位	ID:2365	はいほー		LID;1300000000000002303
ラウンジ5109位	ID:1300000000000002303	自由人の集い		LID;1000000000000003544
ラウンジ5110位	ID:1000000000000003544	アイドル		LID;300000000000002727
