100位	4287808 pt
500位	2558740 pt
1200位	1106124 pt
1300位	947734 pt
1000位	1436688 pt
1位	56838388 pt
10位	22611977 pt
11位	20517627 pt
20位	9863674 pt
300位	3086889 pt
1999位	494915 pt
2000位	494838 pt
2999位	291159 pt
3000位	291149 pt
3999位	201851 pt
4000位	201825 pt
9999位	44252 pt
10000位	44239 pt
15000位	4349 pt
20000位	0 pt
30000位	0 pt
ラウンジ1位	229302274 pt
ラウンジ10位	52607253 pt
ラウンジ11位	43508819 pt
ラウンジ20位	27762801 pt
ラウンジ30位	21089210 pt
ラウンジ100位	8449940 pt
ラウンジ300位	3164822 pt
ラウンジ1000位	498718 pt
※04/23 00:00 集計時点のポイントですBY SKDN
