100位	12832586 pt
500位	5906499 pt
1200位	3776451 pt
1300位	3302594 pt
1000位	4226389 pt
1位	199410036 pt
10位	60057957 pt
11位	58011145 pt
20位	29752092 pt
300位	7593712 pt
1999位	1291626 pt
2000位	1289333 pt
2999位	760412 pt
3000位	760212 pt
3999位	535371 pt
4000位	535325 pt
4999位	399108 pt
5000位	399089 pt
9999位	109570 pt
10000位	109548 pt
15000位	12313 pt
20000位	0 pt
30000位	0 pt
ラウンジ1位	596536719 pt
ラウンジ10位	259834347 pt
ラウンジ11位	244771234 pt
ラウンジ20位	63175480 pt
ラウンジ30位	47673687 pt
ラウンジ100位	20506278 pt
ラウンジ300位	8275505 pt
ラウンジ1000位	1090204 pt
※06/11 23:36 集計時点のほからん
