100位	13141115 pt
500位	6033553 pt
1200位	3934139 pt
1300位	3440859 pt
1000位	4340430 pt
1位	202180368 pt
10位	60774154 pt
11位	58120863 pt
20位	30347348 pt
300位	7765984 pt
1999位	1329306 pt
2000位	1328683 pt
2999位	781663 pt
3000位	781270 pt
3999位	553035 pt
4000位	552929 pt
4999位	409907 pt
5000位	409827 pt
9999位	112617 pt
10000位	112589 pt
15000位	12793 pt
20000位	0 pt
30000位	0 pt
ラウンジ1位	608099585 pt
ラウンジ10位	261544161 pt
ラウンジ11位	251594032 pt
ラウンジ20位	64615636 pt
ラウンジ30位	49573664 pt
ラウンジ100位	21438403 pt
ラウンジ300位	8333969 pt
ラウンジ1000位	1114186 pt
※06/11 23:40 集計時点のほからん
