100位	65,560 pt
500位	17,990 pt
1200位	6,900 pt
1300位	6,160 pt
1000位	8,418 pt
1位	519,769 pt
10位	246,240 pt
11位	243,460 pt
20位	180,428 pt
300位	27,239 pt
1999位	3,500 pt
2000位	3,500 pt
2999位	1,050 pt
3000位	1,050 pt
3999位	500 pt
4000位	500 pt
4999位	0 pt
5000位	0 pt
9999位	0 pt
10000位	0 pt
15000位	0 pt
20000位	0 pt
ラウンジ1位	820,999 pt
ラウンジ10位	435,480 pt
ラウンジ11位	406,879 pt
ラウンジ20位	293,631 pt
ラウンジ30位	227,221 pt
ラウンジ100位	85,680 pt
ラウンジ300位	25,600 pt
ラウンジ1000位	3,500 pt
ラウンジ10位÷35	12,442.286 pt
ラウンジ11位÷35	11,625.114 pt
※09/07 12:23 集計時点のほからん
