100位	10,423,798 pt
500位	4,259,069 pt
1200位	2,691,672 pt
1300位	2,088,995 pt
1000位	2,933,563 pt
1位	89,587,395 pt
10位	39,248,006 pt
11位	39,083,109 pt
20位	23,561,078 pt
300位	5,620,079 pt
1999位	990,749 pt
2000位	990,577 pt
2999位	585,024 pt
3000位	584,998 pt
3999位	411,573 pt
4000位	411,342 pt
4999位	307,702 pt
5000位	307,680 pt
9999位	58,016 pt
10000位	58,000 pt
15000位	0 pt
20000位	0 pt
30000位	0 pt
ラウンジ1位	299,180,288 pt
ラウンジ10位	135,909,061 pt
ラウンジ11位	134,758,354 pt
ラウンジ20位	49,883,905 pt
ラウンジ30位	40,200,705 pt
ラウンジ100位	18,103,773 pt
ラウンジ300位	5,852,711 pt
ラウンジ1000位	824,436 pt
ラウンジ10位÷35	3,883,116 pt
ラウンジ11位÷35	3,850,239 pt
※09/11 16:45 集計時点のほからん
