100位	314,214 pt
500位	69,992 pt
1200位	21,310 pt
1300位	18,964 pt
1000位	27,535 pt
1位	5,364,924 pt
10位	1,206,196 pt
11位	1,151,674 pt
20位	827,036 pt
300位	122,870 pt
1999位	9,680 pt
2000位	9,673 pt
2999位	4,830 pt
3000位	4,830 pt
3999位	2,380 pt
4000位	2,379 pt
4999位	1,050 pt
5000位	1,050 pt
9999位	0 pt
10000位	0 pt
15000位	0 pt
20000位	0 pt
ラウンジ1位	12,070,981 pt
ラウンジ10位	2,007,651 pt
ラウンジ11位	1,924,270 pt
ラウンジ20位	1,434,009 pt
ラウンジ30位	1,125,939 pt
ラウンジ100位	291,640 pt
ラウンジ300位	80,661 pt
ラウンジ1000位	11,270 pt
ラウンジ10位÷35	57,361 pt
ラウンジ11位÷35	54,979 pt
※09/07 12:49 集計時点のほからん
