100位	23,419,655 pt
500位	8,292,618 pt
1200位	4,601,948 pt
1300位	3,278,532 pt
1000位	5,203,693 pt
1位	277,943,159 pt
10位	82,443,514 pt
11位	78,463,882 pt
20位	40,561,863 pt
700位	6,542,054 pt
765位	6,187,606 pt
770位	6,154,578 pt
300位	10,498,936 pt
1999位	1,931,480 pt
2000位	1,930,863 pt
2999位	1,393,676 pt
3000位	1,393,122 pt
3999位	991,458 pt
4000位	991,372 pt
4999位	740,529 pt
5000位	740,447 pt
9999位	221,287 pt
10000位	221,264 pt
15000位	28,495 pt
20000位	996 pt
30000位	0 pt
45000位	0 pt
※07/13 16:00 集計時点のポイントですBY SKDN
