100位	22,706,362 pt
500位	8,112,842 pt
1200位	4,390,079 pt
1300位	3,175,041 pt
1000位	5,102,725 pt
1位	277,943,159 pt
10位	82,118,185 pt
11位	78,463,882 pt
20位	40,161,966 pt
700位	6,507,564 pt
765位	6,171,208 pt
770位	6,148,809 pt
300位	10,258,897 pt
1999位	1,905,341 pt
2000位	1,905,135 pt
2999位	1,383,207 pt
3000位	1,383,015 pt
3999位	974,545 pt
4000位	974,376 pt
4999位	727,501 pt
5000位	727,443 pt
9999位	215,432 pt
10000位	215,392 pt
15000位	28,246 pt
20000位	995 pt
30000位	0 pt
45000位	0 pt
※07/12 23:46 集計時点のポイントですBY SKDN
