100位	675980852 pt
500位	383414821 pt
1200位	243507605 pt
1300位	165593965 pt
1000位	252008761 pt
1位	5553742942 pt
10位	2307706370 pt
11位	2101658833 pt
20位	964218442 pt
700位	286080574 pt
765位	273943805 pt
770位	273781448 pt
300位	450672793 pt
1999位	110340275 pt
2000位	110293866 pt
2999位	58696701 pt
3000位	58686803 pt
3999位	42295219 pt
4000位	42286339 pt
4999位	30032413 pt
5000位	30007541 pt
9999位	9045440 pt
10000位	9039700 pt
15000位	2421957 pt
20000位	121327 pt
30000位	0 pt
45000位	0 pt
※05/29 17:44 集計時点のポイントですBY SKDN
