100位	509579206 pt
500位	356311236 pt
1200位	91389134 pt
1300位	78671452 pt
1000位	126675357 pt
1位	4625406045 pt
10位	1052058493 pt
11位	1033611699 pt
20位	745407087 pt
700位	211434131 pt
765位	199940382 pt
770位	196818397 pt
300位	400466472 pt
1999位	40669144 pt
2000位	40659791 pt
2999位	24623128 pt
3000位	24618264 pt
3999位	16627897 pt
4000位	16625413 pt
4999位	12178374 pt
5000位	12175611 pt
9999位	3068118 pt
10000位	3068049 pt
15000位	909343 pt
20000位	20812 pt
30000位	0 pt
45000位	0 pt
※05/23 16:59 集計時点のポイントですBY SKDN
