100位	190,274,327 pt
500位	92,887,950 pt
1200位	60,943,464 pt
1300位	51,729,189 pt
1000位	66,486,607 pt
1位	1,773,597,520 pt
10位	781,245,905 pt
11位	743,468,213 pt
20位	284,513,921 pt
700位	79,120,494 pt
765位	75,318,980 pt
770位	75,031,702 pt
300位	113,016,565 pt
1500位	42,849,939 pt
1999位	34,208,310 pt
2000位	34,201,787 pt
2999位	21,238,896 pt
3000位	21,230,455 pt
3999位	14,747,210 pt
4000位	14,745,520 pt
4999位	8,808,706 pt
5000位	8,797,928 pt
9999位	1,847,680 pt
10000位	1,847,180 pt
15000位	102,240 pt
20000位	0 pt
30000位	0 pt
※08/22 12:12 集計時点のポイントですBY SKDN
