100位	250,481,155 pt
500位	100,078,423 pt
1200位	80,611,348 pt
1300位	58,885,542 pt
1000位	82,631,110 pt
1位	2,222,222,222 pt
10位	620,747,863 pt
11位	615,051,338 pt
20位	346,487,712 pt
700位	85,577,190 pt
765位	84,491,617 pt
770位	84,441,013 pt
300位	122,979,777 pt
1500位	29,027,362 pt
1999位	22,142,014 pt
2000位	22,134,236 pt
2999位	12,171,662 pt
3000位	12,160,268 pt
3999位	7,869,554 pt
4000位	7,869,149 pt
4999位	5,339,701 pt
5000位	5,335,113 pt
9999位	373,496 pt
10000位	373,296 pt
15000位	140 pt
20000位	0 pt
※10/30 00:00 集計時点のポイントですBY SKDN
