100位	825,585,916 pt
500位	347,511,967 pt
1200位	279,681,591 pt
1300位	191,369,818 pt
1000位	287,155,033 pt
1位	7,120,000,000 pt
10位	2,781,434,155 pt
11位	2,510,792,960 pt
20位	1,053,890,639 pt
700位	300,443,973 pt
765位	295,785,516 pt
770位	295,656,762 pt
300位	400,526,328 pt
1500位	96,892,374 pt
1999位	76,328,748 pt
2000位	76,312,979 pt
2999位	41,556,835 pt
3000位	41,541,640 pt
3999位	28,866,762 pt
4000位	28,854,685 pt
4999位	21,679,928 pt
5000位	21,679,574 pt
9999位	4,584,661 pt
10000位	4,580,160 pt
15000位	120,203 pt
20000位	140 pt
30000位	0 pt
※08/08 12:58 集計時点のポイントですBY SKDN
