100位	260,021,901 pt
500位	97,062,212 pt
1200位	29,099,452 pt
1300位	25,487,067 pt
1000位	38,158,494 pt
1位	4,095,296,476 pt
10位	734,382,905 pt
11位	647,128,116 pt
20位	522,553,423 pt
700位	62,943,284 pt
765位	56,165,686 pt
770位	55,857,341 pt
300位	140,334,985 pt
1500位	20,654,170 pt
1999位	13,140,548 pt
2000位	13,139,574 pt
2999位	6,134,588 pt
3000位	6,127,739 pt
3999位	3,353,905 pt
4000位	3,349,000 pt
4999位	2,042,061 pt
5000位	2,041,910 pt
9999位	239,681 pt
10000位	239,678 pt
15000位	8,148 pt
20000位	0 pt
30000位	0 pt
※07/31 16:23 集計時点のポイントですBY SKDN
