100位	72,019,207 pt
500位	18,859,663 pt
1200位	3,891,716 pt
1300位	3,269,348 pt
1000位	5,705,061 pt
	1位	579,086,545 pt
10位	231,139,736 pt
	11位	228,245,608 pt
20位	146,987,717 pt
※11/03 19:03 集計時点 BYそくどん


100位	71,936,560 pt
500位	18,807,641 pt
1200位	3,891,716 pt
1300位	3,263,181 pt
1000位	5,673,897 pt
	1位	577,693,503 pt
10位	231,139,736 pt
	11位	227,936,008 pt
20位	146,313,640 pt
※11/03 19:01 集計時点 BYそくどん


100位	71,936,560 pt
500位	18,806,849 pt
1200位	3,891,716 pt
1300位	3,263,181 pt
1000位	5,673,897 pt
	1位	574,809,527 pt
10位	231,139,736 pt
	11位	227,626,408 pt
20位	146,003,305 pt
※11/03 19:00 集計時点 BYそくどん


100位	71,936,560 pt
500位	18,806,849 pt
1200位	3,891,716 pt
1300位	3,263,181 pt
1000位	5,673,897 pt
	1位	574,809,527 pt
10位	231,139,736 pt
	11位	227,549,008 pt
20位	146,003,305 pt
※11/03 18:59 集計時点 BYそくどん


100位	71,936,560 pt
500位	18,806,577 pt
1200位	3,891,716 pt
1300位	3,263,181 pt
1000位	5,647,875 pt
	1位	573,937,378 pt
10位	231,139,736 pt
	11位	227,471,608 pt
20位	145,945,255 pt
※11/03 18:58 集計時点 BYそくどん


100位	71,936,560 pt
500位	18,636,382 pt
1200位	3,887,695 pt
1300位	3,254,929 pt
1000位	5,647,875 pt
	1位	572,091,419 pt
10位	231,139,736 pt
	11位	227,405,818 pt
20位	145,945,255 pt
※11/03 18:56 集計時点 BYそくどん


100位	71,698,658 pt
500位	18,636,382 pt
1200位	3,880,287 pt
1300位	3,254,929 pt
1000位	5,644,990 pt
	1位	571,401,191 pt
10位	231,139,736 pt
	11位	227,405,818 pt
20位	145,608,181 pt
※11/03 18:55 集計時点 BYそくどん


100位	71,698,318 pt
500位	18,584,373 pt
1200位	3,880,287 pt
1300位	3,254,929 pt
1000位	5,644,990 pt
	1位	570,523,691 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	145,265,742 pt
※11/03 18:53 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,493,528 pt
1200位	3,860,413 pt
1300位	3,252,879 pt
1000位	5,624,739 pt
	1位	566,714,061 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	145,265,742 pt
※11/03 18:51 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,493,528 pt
1200位	3,860,413 pt
1300位	3,236,852 pt
1000位	5,624,025 pt
	1位	566,714,061 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	145,265,606 pt
※11/03 18:50 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,493,528 pt
1200位	3,860,413 pt
1300位	3,236,852 pt
1000位	5,624,025 pt
	1位	566,714,061 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	145,103,066 pt
※11/03 18:49 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,488,138 pt
1200位	3,844,475 pt
1300位	3,221,204 pt
1000位	5,624,025 pt
	1位	566,714,061 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	145,103,066 pt
※11/03 18:48 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,429,698 pt
1200位	3,813,440 pt
1300位	3,219,405 pt
1000位	5,595,171 pt
	1位	564,348,302 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	145,103,066 pt
※11/03 18:46 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,375,516 pt
1200位	3,796,469 pt
1300位	3,213,496 pt
1000位	5,595,171 pt
	1位	564,348,302 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:45 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,375,516 pt
1200位	3,796,469 pt
1300位	3,207,712 pt
1000位	5,587,830 pt
	1位	564,348,302 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:43 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,257,708 pt
1200位	3,794,499 pt
1300位	3,207,712 pt
1000位	5,584,824 pt
	1位	563,995,162 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:41 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,224,227 pt
1200位	3,794,499 pt
1300位	3,196,009 pt
1000位	5,570,903 pt
	1位	562,673,562 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:40 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,224,227 pt
1200位	3,794,499 pt
1300位	3,193,999 pt
1000位	5,570,903 pt
	1位	561,453,667 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:39 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,224,227 pt
1200位	3,794,499 pt
1300位	3,193,999 pt
1000位	5,563,984 pt
	1位	561,453,667 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:38 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,224,227 pt
1200位	3,730,382 pt
1300位	3,162,064 pt
1000位	5,563,984 pt
	1位	561,453,667 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:36 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,041,743 pt
1200位	3,730,382 pt
1300位	3,151,253 pt
1000位	5,484,419 pt
	1位	561,453,667 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:35 集計時点 BYそくどん


100位	71,498,250 pt
500位	18,021,751 pt
1200位	3,725,302 pt
1300位	3,150,253 pt
1000位	5,484,419 pt
	1位	561,453,667 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:33 集計時点 BYそくどん


100位	71,491,721 pt
500位	17,961,746 pt
1200位	3,685,494 pt
1300位	3,119,780 pt
1000位	5,408,160 pt
	1位	560,287,236 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:31 集計時点 BYそくどん


100位	71,491,721 pt
500位	17,854,396 pt
1200位	3,685,494 pt
1300位	3,112,085 pt
1000位	5,408,160 pt
	1位	559,698,670 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:30 集計時点 BYそくどん


100位	71,491,721 pt
500位	17,854,396 pt
1200位	3,685,494 pt
1300位	3,111,284 pt
1000位	5,408,160 pt
	1位	559,698,670 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:29 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,854,396 pt
1200位	3,685,494 pt
1300位	3,111,284 pt
1000位	5,390,199 pt
	1位	559,698,670 pt
10位	231,139,736 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:28 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,776,547 pt
1200位	3,685,494 pt
1300位	3,103,073 pt
1000位	5,382,757 pt
	1位	559,698,670 pt
10位	230,791,947 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:26 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,776,547 pt
1200位	3,674,684 pt
1300位	3,092,337 pt
1000位	5,340,938 pt
	1位	559,698,670 pt
10位	230,791,947 pt
	11位	227,405,682 pt
20位	144,326,649 pt
※11/03 18:25 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,776,547 pt
1200位	3,671,438 pt
1300位	3,088,335 pt
1000位	5,336,105 pt
	1位	559,698,670 pt
10位	230,791,947 pt
	11位	227,405,682 pt
20位	142,292,331 pt
※11/03 18:23 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,691,749 pt
1200位	3,667,176 pt
1300位	3,075,869 pt
1000位	5,318,909 pt
	1位	559,372,283 pt
10位	230,754,021 pt
	11位	227,405,682 pt
20位	141,308,122 pt
※11/03 18:21 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,616,728 pt
1200位	3,653,003 pt
1300位	3,068,878 pt
1000位	5,302,252 pt
	1位	559,372,283 pt
10位	230,754,021 pt
	11位	227,405,682 pt
20位	141,308,122 pt
※11/03 18:20 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,616,728 pt
1200位	3,653,003 pt
1300位	3,068,878 pt
1000位	5,302,252 pt
	1位	559,372,283 pt
10位	230,754,021 pt
	11位	227,405,682 pt
20位	141,308,122 pt
※11/03 18:19 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,616,728 pt
1200位	3,653,003 pt
1300位	3,068,878 pt
1000位	5,302,252 pt
	1位	559,372,283 pt
10位	230,754,021 pt
	11位	227,405,682 pt
20位	141,307,126 pt
※11/03 18:18 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,616,728 pt
1200位	3,653,003 pt
1300位	3,061,194 pt
1000位	5,291,174 pt
	1位	559,372,283 pt
10位	230,719,965 pt
	11位	227,328,282 pt
20位	141,306,990 pt
※11/03 18:16 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,616,728 pt
1200位	3,653,003 pt
1300位	3,058,418 pt
1000位	5,275,164 pt
	1位	559,372,283 pt
10位	230,719,965 pt
	11位	227,173,482 pt
20位	141,306,990 pt
※11/03 18:15 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,358,436 pt
1200位	3,648,630 pt
1300位	3,058,418 pt
1000位	5,268,591 pt
	1位	558,783,717 pt
10位	230,719,965 pt
	11位	226,941,282 pt
20位	141,306,990 pt
※11/03 18:13 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,333,299 pt
1200位	3,617,304 pt
1300位	3,047,664 pt
1000位	5,261,196 pt
	1位	558,783,717 pt
10位	230,683,587 pt
	11位	226,863,882 pt
20位	141,306,990 pt
※11/03 18:11 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,333,299 pt
1200位	3,617,304 pt
1300位	3,034,892 pt
1000位	5,261,196 pt
	1位	558,783,717 pt
10位	230,648,757 pt
	11位	226,786,482 pt
20位	141,306,990 pt
※11/03 18:10 集計時点 BYそくどん


100位	70,406,391 pt
500位	17,333,299 pt
1200位	3,617,304 pt
1300位	3,034,892 pt
1000位	5,261,196 pt
	1位	558,783,717 pt
10位	230,648,757 pt
	11位	226,786,482 pt
20位	141,306,990 pt
※11/03 18:09 集計時点 BYそくどん


100位	69,352,322 pt
500位	17,333,299 pt
1200位	3,617,304 pt
1300位	3,034,892 pt
1000位	5,261,196 pt
	1位	558,783,717 pt
10位	230,567,487 pt
	11位	226,631,682 pt
20位	141,306,990 pt
※11/03 18:09 集計時点 BYそくどん


100位	68,811,911 pt
500位	17,333,299 pt
1200位	3,608,169 pt
1300位	3,032,806 pt
1000位	5,244,211 pt
	1位	558,783,717 pt
10位	230,567,487 pt
	11位	226,244,682 pt
20位	141,306,990 pt
※11/03 18:07 集計時点 BYそくどん


100位	68,811,911 pt
500位	17,307,515 pt
1200位	3,608,169 pt
1300位	3,032,806 pt
1000位	5,244,211 pt
	1位	558,783,717 pt
10位	230,567,487 pt
	11位	226,244,682 pt
20位	141,306,990 pt
※11/03 18:06 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,306,679 pt
1200位	3,608,169 pt
1300位	3,030,091 pt
1000位	5,235,307 pt
	1位	558,783,717 pt
10位	230,526,465 pt
	11位	225,857,682 pt
20位	141,306,990 pt
※11/03 18:05 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,306,679 pt
1200位	3,604,738 pt
1300位	3,030,091 pt
1000位	5,235,307 pt
	1位	558,783,717 pt
10位	230,526,465 pt
	11位	225,548,082 pt
20位	141,306,990 pt
※11/03 18:03 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,280,068 pt
1200位	3,581,243 pt
1300位	3,016,166 pt
1000位	5,214,076 pt
	1位	558,783,717 pt
10位	230,454,483 pt
	11位	225,238,482 pt
20位	141,306,990 pt
※11/03 18:01 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,279,528 pt
1200位	3,576,792 pt
1300位	3,010,627 pt
1000位	5,178,400 pt
	1位	558,783,717 pt
10位	230,454,483 pt
	11位	225,161,082 pt
20位	141,306,990 pt
※11/03 18:00 集計時点 BYそくどん


100位	68,739,641 pt
500位	17,271,557 pt
1200位	3,576,792 pt
1300位	3,010,627 pt
1000位	5,178,147 pt
