100位	231221187 pt
500位	121612781 pt
1200位	97357342 pt
1300位	76779569 pt
1000位	102122867 pt
1位	1849739408 pt
10位	889028666 pt
11位	874435692 pt
20位	393315110 pt
700位	108885296 pt
765位	106367105 pt
770位	106213008 pt
300位	143089431 pt
1999位	27679879 pt
2000位	27665262 pt
2999位	17529741 pt
3000位	17523682 pt
3999位	12857356 pt
4000位	12853962 pt
4999位	10657524 pt
5000位	10654101 pt
9999位	4832102 pt
10000位	4830692 pt
14999位	2017100 pt
15000位	2016830 pt
19999位	309760 pt
20000位	309680 pt
29999位	0 pt
30000位	0 pt
44999位	0 pt
45000位	0 pt
※05/08 00:00 集計時点のポイントですBY SKDN
