100位	129931300 pt
500位	59214239 pt
1200位	22689114 pt
1300位	19469970 pt
1000位	29962380 pt
1位	1423070424 pt
10位	526871465 pt
11位	420639288 pt
20位	303465768 pt
700位	46740497 pt
765位	42726153 pt
770位	42353091 pt
300位	78933449 pt
1999位	10219650 pt
2000位	10217377 pt
2999位	6683496 pt
3000位	6680420 pt
3999位	5094100 pt
4000位	5094100 pt
4999位	4126872 pt
5000位	4126560 pt
9999位	1693090 pt
10000位	1693090 pt
14999位	731520 pt
15000位	731440 pt
19999位	133760 pt
20000位	133680 pt
29999位	0 pt
30000位	0 pt
44999位	0 pt
45000位	0 pt
※05/03 17:00 集計時点のポイントですBY SKDN
