100位	 358,041,370  pt
500位	 189,731,571  pt
1200位	 77,117,334  pt
1300位	 70,280,002  pt
1000位	 98,680,120  pt
1位	 4,258,048,422  pt
10位	 983,860,995  pt
11位	 950,130,824  pt
20位	 742,829,047  pt
700位	 144,736,055  pt
765位	 133,779,613  pt
770位	 132,880,906  pt
300位	 235,574,843  pt
1999位	 41,377,337  pt
2000位	 41,315,000  pt
2999位	 25,606,417  pt
3000位	 25,598,877  pt
3999位	 17,877,743  pt
4000位	 17,876,535  pt
4999位	 12,931,599  pt
5000位	 12,922,989  pt
9999位	 3,346,369  pt
10000位	 3,345,321  pt
15000位	 677,244  pt
20000位	 7,187  pt
30000位	 0  pt
45000位	 0  pt
60000位	 0  pt
※06/30 16:59 集計時点のポイントですBY SKDN
