100位	 645,935,237  pt
500位	 282,277,531  pt
1200位	 192,189,885  pt
1300位	 129,859,851  pt
1000位	 201,585,011  pt
1位	 6,215,471,493  pt
10位	 1,117,756,156  pt
11位	 1,041,021,250  pt
20位	 822,057,880  pt
700位	 215,632,118  pt
765位	 210,477,276  pt
770位	 210,251,658  pt
300位	 308,564,444  pt
1999位	 70,031,578  pt
2000位	 70,009,015  pt
2999位	 41,384,602  pt
3000位	 41,384,245  pt
3999位	 31,076,005  pt
4000位	 31,066,120  pt
4999位	 24,767,155  pt
5000位	 24,765,649  pt
9999位	 7,573,371  pt
10000位	 7,570,484  pt
15000位	 1,417,032  pt
20000位	 14,146  pt
30000位	 0  pt
45000位	 0  pt
60000位	 0  pt
※07/02 23:56 集計時点のポイントですBY SKDN
