チーム春日未来1位	460259 pt
チーム春日未来2位	420249 pt
チーム春日未来3位	399542 pt
チーム春日未来4位	388080 pt
チーム春日未来5位	334358 pt
チーム春日未来6位	263716 pt
チーム春日未来7位	251191 pt
チーム春日未来8位	244457 pt
チーム春日未来9位	244408 pt
チーム春日未来10位	229718 pt
チーム春日未来11位	206912 pt
チーム春日未来12位	206592 pt
チーム春日未来13位	168033 pt
チーム春日未来14位	166623 pt
チーム春日未来15位	163419 pt
チーム春日未来16位	136431 pt
チーム春日未来17位	135080 pt
チーム春日未来18位	132692 pt
チーム春日未来19位	120914 pt
チーム春日未来20位	115444 pt
チーム春日未来21位	110880 pt
チーム春日未来22位	108208 pt
チーム春日未来23位	103927 pt
チーム春日未来24位	100717 pt
チーム春日未来25位	98871 pt
チーム春日未来26位	95862 pt
チーム春日未来27位	81590 pt
チーム春日未来28位	81156 pt
チーム春日未来29位	76317 pt
チーム春日未来30位	75803 pt
チーム最上静香1位	1764647 pt
チーム最上静香2位	1014675 pt
チーム最上静香3位	634282 pt
チーム最上静香4位	335449 pt
チーム最上静香5位	300463 pt
チーム最上静香6位	278631 pt
チーム最上静香7位	234196 pt
チーム最上静香8位	212475 pt
チーム最上静香9位	182210 pt
チーム最上静香10位	167382 pt
チーム最上静香11位	162556 pt
チーム最上静香12位	139905 pt
チーム最上静香13位	131516 pt
チーム最上静香14位	123008 pt
チーム最上静香15位	122443 pt
チーム最上静香16位	115955 pt
チーム最上静香17位	113223 pt
チーム最上静香18位	103638 pt
チーム最上静香19位	102165 pt
チーム最上静香20位	101268 pt
チーム最上静香21位	97220 pt
チーム最上静香22位	95950 pt
チーム最上静香23位	95151 pt
チーム最上静香24位	93006 pt
チーム最上静香25位	87416 pt
チーム最上静香26位	86628 pt
チーム最上静香27位	82618 pt
チーム最上静香28位	79592 pt
チーム最上静香29位	79539 pt
チーム最上静香30位	74854 pt
チーム伊吹翼1位	540534 pt
チーム伊吹翼2位	421887 pt
チーム伊吹翼3位	418217 pt
チーム伊吹翼4位	353793 pt
チーム伊吹翼5位	327657 pt
チーム伊吹翼6位	295451 pt
チーム伊吹翼7位	289278 pt
チーム伊吹翼8位	270715 pt
チーム伊吹翼9位	256287 pt
チーム伊吹翼10位	200602 pt
チーム伊吹翼11位	199266 pt
チーム伊吹翼12位	170139 pt
チーム伊吹翼13位	170044 pt
チーム伊吹翼14位	163856 pt
チーム伊吹翼15位	145299 pt
チーム伊吹翼16位	126604 pt
チーム伊吹翼17位	124276 pt
チーム伊吹翼18位	124076 pt
チーム伊吹翼19位	108800 pt
チーム伊吹翼20位	107294 pt
チーム伊吹翼21位	102856 pt
チーム伊吹翼22位	98899 pt
チーム伊吹翼23位	85752 pt
チーム伊吹翼24位	83368 pt
チーム伊吹翼25位	82238 pt
チーム伊吹翼26位	80610 pt
チーム伊吹翼27位	80018 pt
チーム伊吹翼28位	79902 pt
チーム伊吹翼29位	78466 pt
チーム伊吹翼30位	76923 pt
チーム田中琴葉1位	2063040 pt
チーム田中琴葉2位	1082301 pt
チーム田中琴葉3位	812018 pt
チーム田中琴葉4位	757398 pt
チーム田中琴葉5位	656271 pt
チーム田中琴葉6位	652165 pt
チーム田中琴葉7位	649012 pt
チーム田中琴葉8位	470175 pt
チーム田中琴葉9位	401539 pt
チーム田中琴葉10位	375107 pt
チーム田中琴葉11位	316557 pt
チーム田中琴葉12位	307177 pt
チーム田中琴葉13位	278552 pt
チーム田中琴葉14位	269508 pt
チーム田中琴葉15位	237153 pt
チーム田中琴葉16位	230260 pt
チーム田中琴葉17位	211949 pt
チーム田中琴葉18位	201608 pt
チーム田中琴葉19位	200805 pt
チーム田中琴葉20位	197306 pt
チーム田中琴葉21位	196085 pt
チーム田中琴葉22位	195002 pt
チーム田中琴葉23位	189219 pt
チーム田中琴葉24位	188070 pt
チーム田中琴葉25位	170448 pt
チーム田中琴葉26位	166477 pt
チーム田中琴葉27位	162344 pt
チーム田中琴葉28位	148637 pt
チーム田中琴葉29位	147733 pt
チーム田中琴葉30位	142381 pt
チーム島原エレナ1位	682511 pt
チーム島原エレナ2位	509270 pt
チーム島原エレナ3位	487186 pt
チーム島原エレナ4位	368661 pt
チーム島原エレナ5位	339146 pt
チーム島原エレナ6位	269375 pt
チーム島原エレナ7位	236088 pt
