春日未来39位	1038028 pt
最上静香39位	979989 pt
伊吹翼39位	1010950 pt
田中琴葉39位	1674714 pt
島原エレナ39位	594916 pt
佐竹美奈子39位	1332296 pt
所恵美39位	1113010 pt
徳川まつり39位	675151 pt
箱崎星梨花39位	1116363 pt
野々原茜39位	474480 pt
望月杏奈39位	1316304 pt
ロコ39位	676034 pt
七尾百合子39位	1121197 pt
高山紗代子39位	1163841 pt
松田亜利沙39位	615040 pt
高坂海美39位	912646 pt
中谷育39位	457281 pt
天空橋朋花39位	758985 pt
エミリー39位	722352 pt
北沢志保39位	1288172 pt
舞浜歩39位	471614 pt
木下ひなた39位	439611 pt
矢吹可奈39位	768779 pt
横山奈緒39位	741288 pt
二階堂千鶴39位	478323 pt
馬場このみ39位	803968 pt
大神環39位	696215 pt
豊川風花39位	554122 pt
宮尾美也39位	699653 pt
福田のり子39位	456118 pt
真壁瑞希39位	849176 pt
篠宮可憐39位	613515 pt
百瀬莉緒39位	623747 pt
永吉昴39位	625300 pt
北上麗花39位	682911 pt
周防桃子39位	1021957 pt
ジュリア39位	740704 pt
※03/19 00:00 集計時点のポイントです39位まで
