春日未来1位	4582974 pt
春日未来2位	3610000 pt
春日未来3位	2012998 pt
春日未来4位	1659110 pt
春日未来5位	1654087 pt
春日未来6位	1606346 pt
春日未来7位	1518091 pt
春日未来8位	1506817 pt
春日未来9位	1505381 pt
春日未来10位	1501303 pt
春日未来11位	1491231 pt
春日未来12位	1470638 pt
春日未来13位	1451310 pt
春日未来14位	1404030 pt
春日未来15位	1373401 pt
春日未来16位	1358978 pt
春日未来17位	1308675 pt
春日未来18位	1264119 pt
春日未来19位	1216809 pt
春日未来20位	1192384 pt
春日未来21位	1185652 pt
春日未来22位	1145439 pt
春日未来23位	1127091 pt
春日未来24位	1120214 pt
春日未来25位	1088859 pt
春日未来26位	1038028 pt
春日未来27位	1017075 pt
春日未来28位	1013374 pt
春日未来29位	1005184 pt
春日未来30位	1003390 pt
最上静香1位	2816982 pt
最上静香2位	2350405 pt
最上静香3位	2045285 pt
最上静香4位	2022487 pt
最上静香5位	2014460 pt
最上静香6位	1677987 pt
最上静香7位	1545037 pt
最上静香8位	1488736 pt
最上静香9位	1390321 pt
最上静香10位	1309431 pt
最上静香11位	1264916 pt
最上静香12位	1231539 pt
最上静香13位	1140876 pt
最上静香14位	1069003 pt
最上静香15位	1001221 pt
最上静香16位	964280 pt
最上静香17位	890815 pt
最上静香18位	865591 pt
最上静香19位	853643 pt
最上静香20位	834024 pt
最上静香21位	832798 pt
最上静香22位	769755 pt
最上静香23位	738890 pt
最上静香24位	734702 pt
最上静香25位	684980 pt
最上静香26位	669104 pt
最上静香27位	651965 pt
最上静香28位	636163 pt
最上静香29位	630104 pt
最上静香30位	621211 pt
伊吹翼1位	6391392 pt
伊吹翼2位	3343550 pt
伊吹翼3位	2379419 pt
伊吹翼4位	2131247 pt
伊吹翼5位	1900917 pt
伊吹翼6位	1800183 pt
伊吹翼7位	1718797 pt
伊吹翼8位	1574477 pt
伊吹翼9位	1541815 pt
伊吹翼10位	1459976 pt
伊吹翼11位	1426945 pt
伊吹翼12位	1341182 pt
伊吹翼13位	1288694 pt
伊吹翼14位	1284705 pt
伊吹翼15位	1227450 pt
伊吹翼16位	1205767 pt
伊吹翼17位	1055992 pt
伊吹翼18位	1054590 pt
伊吹翼19位	945000 pt
伊吹翼20位	937598 pt
伊吹翼21位	934370 pt
伊吹翼22位	911338 pt
伊吹翼23位	899915 pt
伊吹翼24位	891586 pt
伊吹翼25位	866678 pt
伊吹翼26位	844845 pt
伊吹翼27位	833854 pt
伊吹翼28位	828672 pt
伊吹翼29位	819775 pt
伊吹翼30位	809203 pt
田中琴葉1位	7247630 pt
田中琴葉2位	3577665 pt
田中琴葉3位	3468529 pt
田中琴葉4位	2923150 pt
田中琴葉5位	2575840 pt
田中琴葉6位	2460346 pt
田中琴葉7位	2452622 pt
田中琴葉8位	2410710 pt
田中琴葉9位	2340755 pt
田中琴葉10位	2270903 pt
田中琴葉11位	2121440 pt
田中琴葉12位	2118891 pt
田中琴葉13位	2089847 pt
田中琴葉14位	2072734 pt
田中琴葉15位	2008124 pt
田中琴葉16位	1896381 pt
田中琴葉17位	1894497 pt
田中琴葉18位	1792598 pt
田中琴葉19位	1700321 pt
田中琴葉20位	1671990 pt
田中琴葉21位	1653929 pt
田中琴葉22位	1547329 pt
田中琴葉23位	1435507 pt
田中琴葉24位	1433902 pt
田中琴葉25位	1385706 pt
田中琴葉26位	1383310 pt
田中琴葉27位	1357697 pt
田中琴葉28位	1335666 pt
田中琴葉29位	1307042 pt
田中琴葉30位	1302399 pt
島原エレナ1位	6267497 pt
島原エレナ2位	2057001 pt
島原エレナ3位	2012345 pt
島原エレナ4位	2005697 pt
島原エレナ5位	1828623 pt
島原エレナ6位	1503588 pt
島原エレナ7位	1440970 pt
島原エレナ8位	1264355 pt
島原エレナ9位	1083712 pt
島原エレナ10位	1045715 pt
島原エレナ11位	941083 pt
島原エレナ12位	918374 pt
島原エレナ13位	915836 pt
島原エレナ14位	826429 pt
島原エレナ15位	803484 pt
島原エレナ16位	775020 pt
島原エレナ17位	767157 pt
島原エレナ18位	688536 pt
島原エレナ19位	635759 pt
島原エレナ20位	624513 pt
島原エレナ21位	623699 pt
島原エレナ22位	612748 pt
島原エレナ23位	607699 pt
島原エレナ24位	570534 pt
島原エレナ25位	555754 pt
島原エレナ26位	554883 pt
島原エレナ27位	543019 pt
島原エレナ28位	507476 pt
島原エレナ29位	500154 pt
島原エレナ30位	446660 pt
佐竹美奈子1位	3750000 pt
佐竹美奈子2位	2804149 pt
佐竹美奈子3位	2670505 pt
佐竹美奈子4位	2632614 pt
佐竹美奈子5位	2420983 pt
佐竹美奈子6位	2052301 pt
佐竹美奈子7位	2003602 pt
佐竹美奈子8位	1995669 pt
佐竹美奈子9位	1946477 pt
佐竹美奈子10位	1932159 pt
佐竹美奈子11位	1931266 pt
佐竹美奈子12位	1819842 pt
佐竹美奈子13位	1734933 pt
佐竹美奈子14位	1724306 pt
佐竹美奈子15位	1709991 pt
佐竹美奈子16位	1510030 pt
佐竹美奈子17位	1503092 pt
佐竹美奈子18位	1479859 pt
佐竹美奈子19位	1406544 pt
佐竹美奈子20位	1304789 pt
佐竹美奈子21位	1286853 pt
佐竹美奈子22位	1259616 pt
佐竹美奈子23位	1225972 pt
佐竹美奈子24位	1225850 pt
佐竹美奈子25位	1217321 pt
佐竹美奈子26位	1179674 pt
佐竹美奈子27位	1174018 pt
佐竹美奈子28位	1110863 pt
佐竹美奈子29位	1099578 pt
佐竹美奈子30位	1083903 pt
所恵美1位	1685466 pt
所恵美2位	1588631 pt
所恵美3位	1523420 pt
所恵美4位	1503502 pt
所恵美5位	1440519 pt
所恵美6位	1373438 pt
所恵美7位	1319058 pt
所恵美8位	1270254 pt
所恵美9位	1268933 pt
所恵美10位	1253007 pt
所恵美11位	1201033 pt
所恵美12位	1200508 pt
所恵美13位	1173905 pt
所恵美14位	1171669 pt
所恵美15位	1150450 pt
所恵美16位	1147238 pt
所恵美17位	1126627 pt
所恵美18位	1075302 pt
所恵美19位	1056663 pt
所恵美20位	1041887 pt
所恵美21位	1035704 pt
所恵美22位	1029291 pt
所恵美23位	1017786 pt
所恵美24位	989750 pt
所恵美25位	983975 pt
所恵美26位	959079 pt
所恵美27位	941029 pt
所恵美28位	922915 pt
所恵美29位	918742 pt
所恵美30位	916356 pt
徳川まつり1位	2025904 pt
徳川まつり2位	1814592 pt
徳川まつり3位	1396670 pt
徳川まつり4位	1225065 pt
徳川まつり5位	1091879 pt
徳川まつり6位	1067649 pt
徳川まつり7位	1039158 pt
徳川まつり8位	975778 pt
徳川まつり9位	920300 pt
徳川まつり10位	898479 pt
徳川まつり11位	858971 pt
徳川まつり12位	785708 pt
徳川まつり13位	699130 pt
徳川まつり14位	697002 pt
徳川まつり15位	680273 pt
徳川まつり16位	675151 pt
徳川まつり17位	668191 pt
