春日未来60位	2356474 pt
春日未来80位	2272770 pt
春日未来100位	2204462 pt
春日未来120位	2119856 pt
春日未来140位	2016599 pt
春日未来160位	1959181 pt
春日未来180位	1873690 pt
春日未来200位	1810434 pt
春日未来220位	1619851 pt
春日未来240位	1294395 pt
春日未来260位	778793 pt
春日未来280位	423230 pt
春日未来300位	224105 pt
最上静香60位	2999999 pt
最上静香80位	2759510 pt
最上静香100位	2628005 pt
最上静香120位	2551300 pt
最上静香140位	2476812 pt
最上静香160位	2343212 pt
最上静香180位	2258114 pt
最上静香200位	2200270 pt
最上静香220位	2073138 pt
最上静香240位	1507059 pt
最上静香260位	1009402 pt
最上静香280位	520852 pt
最上静香300位	321320 pt
伊吹翼60位	2222283 pt
伊吹翼80位	2087418 pt
伊吹翼100位	2002817 pt
伊吹翼120位	1881048 pt
伊吹翼140位	1773594 pt
伊吹翼160位	1683161 pt
伊吹翼180位	1602308 pt
伊吹翼200位	1514475 pt
伊吹翼220位	1394099 pt
伊吹翼240位	1100257 pt
伊吹翼260位	615060 pt
伊吹翼280位	252077 pt
伊吹翼300位	173370 pt
田中琴葉60位	5002693 pt
田中琴葉80位	4405836 pt
田中琴葉100位	4156311 pt
田中琴葉120位	4003576 pt
田中琴葉140位	3689171 pt
田中琴葉160位	3515032 pt
田中琴葉180位	3308090 pt
田中琴葉200位	3115272 pt
田中琴葉220位	2803742 pt
田中琴葉240位	2088354 pt
田中琴葉260位	911983 pt
田中琴葉280位	536995 pt
田中琴葉300位	304271 pt
島原エレナ60位	2024090 pt
島原エレナ80位	1955474 pt
島原エレナ100位	1834852 pt
島原エレナ120位	1734440 pt
島原エレナ140位	1598847 pt
島原エレナ160位	1504607 pt
島原エレナ180位	1400586 pt
島原エレナ200位	1321906 pt
島原エレナ220位	1107130 pt
島原エレナ240位	662153 pt
島原エレナ260位	421304 pt
島原エレナ280位	297690 pt
島原エレナ300位	177579 pt
佐竹美奈子60位	2562415 pt
佐竹美奈子80位	2279844 pt
佐竹美奈子100位	2117073 pt
佐竹美奈子120位	2011151 pt
佐竹美奈子140位	2000000 pt
佐竹美奈子160位	1879376 pt
佐竹美奈子180位	1767498 pt
佐竹美奈子200位	1619564 pt
佐竹美奈子220位	1395331 pt
佐竹美奈子240位	644038 pt
佐竹美奈子260位	391767 pt
佐竹美奈子280位	257521 pt
佐竹美奈子300位	174043 pt
所恵美60位	3020112 pt
所恵美80位	2907250 pt
所恵美100位	2668343 pt
所恵美120位	2577545 pt
所恵美140位	2483894 pt
所恵美160位	2407249 pt
所恵美180位	2314441 pt
所恵美200位	2197510 pt
所恵美220位	2060078 pt
所恵美240位	1701332 pt
所恵美260位	1213132 pt
所恵美280位	543307 pt
所恵美300位	358844 pt
徳川まつり60位	2333936 pt
徳川まつり80位	2204123 pt
徳川まつり100位	2101308 pt
徳川まつり120位	2016521 pt
徳川まつり140位	1999999 pt
徳川まつり160位	1842295 pt
徳川まつり180位	1771068 pt
徳川まつり200位	1702169 pt
徳川まつり220位	1503714 pt
徳川まつり240位	1032950 pt
徳川まつり260位	485665 pt
徳川まつり280位	361646 pt
徳川まつり300位	233306 pt
箱崎星梨花60位	2552266 pt
箱崎星梨花80位	2455652 pt
箱崎星梨花100位	2284089 pt
箱崎星梨花120位	2157841 pt
箱崎星梨花140位	2058859 pt
箱崎星梨花160位	2004679 pt
箱崎星梨花180位	1915149 pt
箱崎星梨花200位	1804598 pt
箱崎星梨花220位	1636206 pt
箱崎星梨花240位	1084504 pt
箱崎星梨花260位	573116 pt
箱崎星梨花280位	287170 pt
箱崎星梨花300位	208888 pt
野々原茜60位	1870002 pt
野々原茜80位	1708988 pt
野々原茜100位	1566551 pt
野々原茜120位	1500291 pt
野々原茜140位	1395698 pt
野々原茜160位	1306424 pt
野々原茜180位	1238924 pt
野々原茜200位	1141224 pt
野々原茜220位	1018580 pt
野々原茜240位	643139 pt
野々原茜260位	359383 pt
野々原茜280位	267442 pt
野々原茜300位	168678 pt
望月杏奈60位	3012246 pt
望月杏奈80位	2827043 pt
望月杏奈100位	2648702 pt
望月杏奈120位	2555329 pt
望月杏奈140位	2459410 pt
望月杏奈160位	2317298 pt
望月杏奈180位	2221446 pt
望月杏奈200位	2151987 pt
望月杏奈220位	1890599 pt
望月杏奈240位	1129241 pt
望月杏奈260位	732185 pt
望月杏奈280位	352183 pt
望月杏奈300位	233926 pt
ロコ60位	2226794 pt
ロコ80位	2127925 pt
ロコ100位	2026641 pt
ロコ120位	2005078 pt
ロコ140位	1893912 pt
ロコ160位	1802057 pt
ロコ180位	1649295 pt
ロコ200位	1562980 pt
ロコ220位	1406342 pt
ロコ240位	935803 pt
ロコ260位	464921 pt
ロコ280位	277525 pt
ロコ300位	183870 pt
七尾百合子60位	3513682 pt
七尾百合子80位	3345565 pt
七尾百合子100位	3102108 pt
七尾百合子120位	3002571 pt
七尾百合子140位	2827003 pt
七尾百合子160位	2715786 pt
七尾百合子180位	2524172 pt
七尾百合子200位	2424242 pt
七尾百合子220位	2161552 pt
七尾百合子240位	1530957 pt
七尾百合子260位	736273 pt
七尾百合子280位	330116 pt
七尾百合子300位	222696 pt
高山紗代子60位	2411616 pt
高山紗代子80位	2293570 pt
高山紗代子100位	2180574 pt
高山紗代子120位	2091081 pt
高山紗代子140位	2017135 pt
高山紗代子160位	2000742 pt
高山紗代子180位	1948981 pt
高山紗代子200位	1875049 pt
高山紗代子220位	1677979 pt
高山紗代子240位	1272351 pt
高山紗代子260位	789415 pt
高山紗代子280位	427000 pt
高山紗代子300位	280710 pt
松田亜利沙60位	2000057 pt
松田亜利沙80位	1856802 pt
松田亜利沙100位	1768650 pt
松田亜利沙120位	1681045 pt
松田亜利沙140位	1605237 pt
松田亜利沙160位	1504835 pt
松田亜利沙180位	1444973 pt
松田亜利沙200位	1377376 pt
松田亜利沙220位	1292693 pt
松田亜利沙240位	1024461 pt
松田亜利沙260位	572669 pt
松田亜利沙280位	293873 pt
松田亜利沙300位	194044 pt
高坂海美60位	2400169 pt
高坂海美80位	2298222 pt
高坂海美100位	2211652 pt
高坂海美120位	2085821 pt
高坂海美140位	2007421 pt
高坂海美160位	1966393 pt
高坂海美180位	1871380 pt
高坂海美200位	1803926 pt
高坂海美220位	1698931 pt
高坂海美240位	1466830 pt
高坂海美260位	963277 pt
高坂海美280位	548815 pt
高坂海美300位	307468 pt
中谷育60位	1647689 pt
中谷育80位	1562197 pt
中谷育100位	1504051 pt
中谷育120位	1465637 pt
中谷育140位	1349167 pt
中谷育160位	1236006 pt
中谷育180位	1144935 pt
中谷育200位	1092934 pt
中谷育220位	1004227 pt
中谷育240位	838019 pt
中谷育260位	503376 pt
中谷育280位	317044 pt
中谷育300位	217631 pt
天空橋朋花60位	2222268 pt
天空橋朋花80位	2145939 pt
天空橋朋花100位	2076684 pt
天空橋朋花120位	2013555 pt
天空橋朋花140位	1990453 pt
天空橋朋花160位	1874962 pt
天空橋朋花180位	1807865 pt
天空橋朋花200位	1760671 pt
天空橋朋花220位	1651043 pt
天空橋朋花240位	1217681 pt
天空橋朋花260位	758344 pt
天空橋朋花280位	327200 pt
天空橋朋花300位	200330 pt
エミリー60位	2003122 pt
エミリー80位	1800735 pt
エミリー100位	1713620 pt
エミリー120位	1626632 pt
エミリー140位	1543261 pt
エミリー160位	1484719 pt
エミリー180位	1401373 pt
エミリー200位	1310522 pt
エミリー220位	1126174 pt
エミリー240位	653051 pt
エミリー260位	367606 pt
エミリー280位	212388 pt
エミリー300位	150693 pt
北沢志保60位	3009223 pt
北沢志保80位	2818248 pt
北沢志保100位	2601718 pt
北沢志保120位	2503686 pt
北沢志保140位	2315376 pt
北沢志保160位	2170832 pt
北沢志保180位	2074153 pt
北沢志保200位	2001274 pt
北沢志保220位	1606138 pt
北沢志保240位	1004351 pt
北沢志保260位	569511 pt
北沢志保280位	303110 pt
北沢志保300位	203610 pt
舞浜歩60位	1543873 pt
舞浜歩80位	1461938 pt
舞浜歩100位	1322951 pt
舞浜歩120位	1255854 pt
舞浜歩140位	1150701 pt
舞浜歩160位	1083845 pt
舞浜歩180位	1031861 pt
舞浜歩200位	1000624 pt
舞浜歩220位	893380 pt
舞浜歩240位	619545 pt
舞浜歩260位	295166 pt
舞浜歩280位	201597 pt
舞浜歩300位	150534 pt
木下ひなた60位	1651474 pt
木下ひなた80位	1514065 pt
木下ひなた100位	1464247 pt
木下ひなた120位	1404996 pt
木下ひなた140位	1250645 pt
木下ひなた160位	1164246 pt
木下ひなた180位	1086182 pt
木下ひなた200位	981082 pt
木下ひなた220位	756863 pt
木下ひなた240位	524554 pt
木下ひなた260位	393218 pt
木下ひなた280位	276735 pt
木下ひなた300位	195475 pt
矢吹可奈60位	2015393 pt
矢吹可奈80位	2003276 pt
矢吹可奈100位	1855246 pt
矢吹可奈120位	1800300 pt
矢吹可奈140位	1676449 pt
矢吹可奈160位	1587855 pt
矢吹可奈180位	1515150 pt
矢吹可奈200位	1470750 pt
矢吹可奈220位	1381258 pt
矢吹可奈240位	1129452 pt
矢吹可奈260位	662249 pt
矢吹可奈280位	342304 pt
矢吹可奈300位	224758 pt
横山奈緒60位	2019131 pt
横山奈緒80位	2000000 pt
横山奈緒100位	1805667 pt
横山奈緒120位	1645017 pt
