春日未来200位	1827687 pt
春日未来210位	1781371 pt
春日未来220位	1729203 pt
春日未来230位	1513870 pt
春日未来240位	1382556 pt
春日未来250位	1139065 pt
春日未来260位	899884 pt
春日未来270位	609227 pt
春日未来280位	456238 pt
春日未来290位	337619 pt
春日未来300位	238386 pt
最上静香200位	2225962 pt
最上静香210位	2160275 pt
最上静香220位	2093346 pt
最上静香230位	1899195 pt
最上静香240位	1574938 pt
最上静香250位	1333970 pt
最上静香260位	1056954 pt
最上静香270位	748243 pt
最上静香280位	531358 pt
最上静香290位	421047 pt
最上静香300位	322372 pt
伊吹翼200位	1542647 pt
伊吹翼210位	1508648 pt
伊吹翼220位	1432477 pt
伊吹翼230位	1282170 pt
伊吹翼240位	1165672 pt
伊吹翼250位	918339 pt
伊吹翼260位	615060 pt
伊吹翼270位	394546 pt
伊吹翼280位	265848 pt
伊吹翼290位	214612 pt
伊吹翼300位	178861 pt
田中琴葉200位	3137741 pt
田中琴葉210位	3060592 pt
田中琴葉220位	2843050 pt
田中琴葉230位	2712466 pt
田中琴葉240位	2137393 pt
田中琴葉250位	1717551 pt
田中琴葉260位	956524 pt
田中琴葉270位	803872 pt
田中琴葉280位	539059 pt
田中琴葉290位	373499 pt
田中琴葉300位	310654 pt
島原エレナ200位	1342545 pt
島原エレナ210位	1301521 pt
島原エレナ220位	1220450 pt
島原エレナ230位	952043 pt
島原エレナ240位	702417 pt
島原エレナ250位	519251 pt
島原エレナ260位	444692 pt
島原エレナ270位	383376 pt
島原エレナ280位	300150 pt
島原エレナ290位	246224 pt
島原エレナ300位	181848 pt
佐竹美奈子200位	1621644 pt
佐竹美奈子210位	1539137 pt
佐竹美奈子220位	1450101 pt
佐竹美奈子230位	1110079 pt
佐竹美奈子240位	759203 pt
佐竹美奈子250位	538541 pt
佐竹美奈子260位	413258 pt
佐竹美奈子270位	322114 pt
佐竹美奈子280位	267367 pt
佐竹美奈子290位	214758 pt
佐竹美奈子300位	174043 pt
所恵美200位	2211931 pt
所恵美210位	2177899 pt
所恵美220位	2096806 pt
所恵美230位	2008787 pt
所恵美240位	1816106 pt
所恵美250位	1437129 pt
