春日未来200位	2231239 pt
春日未来210位	2221180 pt
春日未来220位	2205508 pt
春日未来230位	2192168 pt
春日未来240位	2158553 pt
春日未来250位	2121791 pt
春日未来260位	2070795 pt
春日未来270位	1445861 pt
春日未来280位	691409 pt
春日未来290位	499254 pt
春日未来300位	388340 pt
最上静香200位	2509610 pt
最上静香210位	2501086 pt
最上静香220位	2459794 pt
最上静香230位	2425290 pt
最上静香240位	2381973 pt
最上静香250位	2318282 pt
最上静香260位	2039437 pt
最上静香270位	1444994 pt
最上静香280位	1000449 pt
最上静香290位	613473 pt
最上静香300位	426964 pt
伊吹翼200位	1975302 pt
伊吹翼210位	1960743 pt
伊吹翼220位	1932780 pt
伊吹翼230位	1906211 pt
伊吹翼240位	1875535 pt
伊吹翼250位	1842315 pt
伊吹翼260位	1742901 pt
伊吹翼270位	1477443 pt
伊吹翼280位	689383 pt
伊吹翼290位	386717 pt
伊吹翼300位	298085 pt
田中琴葉200位	3409090 pt
田中琴葉210位	3337941 pt
田中琴葉220位	3281719 pt
田中琴葉230位	3229879 pt
田中琴葉240位	3189629 pt
田中琴葉250位	3080578 pt
田中琴葉260位	2382965 pt
田中琴葉270位	1250366 pt
田中琴葉280位	907427 pt
田中琴葉290位	499558 pt
田中琴葉300位	408618 pt
島原エレナ200位	1856804 pt
島原エレナ210位	1838574 pt
島原エレナ220位	1827197 pt
島原エレナ230位	1815855 pt
島原エレナ240位	1787026 pt
島原エレナ250位	1745684 pt
島原エレナ260位	1716608 pt
島原エレナ270位	1561317 pt
島原エレナ280位	752659 pt
島原エレナ290位	482874 pt
島原エレナ300位	351412 pt
佐竹美奈子200位	1904993 pt
佐竹美奈子210位	1873103 pt
佐竹美奈子220位	1839863 pt
佐竹美奈子230位	1803167 pt
佐竹美奈子240位	1773056 pt
佐竹美奈子250位	1725253 pt
佐竹美奈子260位	1653080 pt
佐竹美奈子270位	1179500 pt
佐竹美奈子280位	866787 pt
佐竹美奈子290位	588355 pt
佐竹美奈子300位	408857 pt
所恵美200位	2505625 pt
所恵美210位	2494397 pt
所恵美220位	2465909 pt
所恵美230位	2428008 pt
所恵美240位	2398464 pt
所恵美250位	2349563 pt
所恵美260位	2169937 pt
所恵美270位	1378350 pt
所恵美280位	784358 pt
所恵美290位	543426 pt
所恵美300位	459069 pt
徳川まつり200位	2019021 pt
徳川まつり210位	2008420 pt
徳川まつり220位	2004886 pt
徳川まつり230位	1993615 pt
徳川まつり240位	1964503 pt
徳川まつり250位	1915041 pt
徳川まつり260位	1797198 pt
徳川まつり270位	1430662 pt
徳川まつり280位	716594 pt
徳川まつり290位	471429 pt
徳川まつり300位	386016 pt
箱崎星梨花200位	2066435 pt
箱崎星梨花210位	2051085 pt
箱崎星梨花220位	2012595 pt
箱崎星梨花230位	2000336 pt
箱崎星梨花240位	1971939 pt
箱崎星梨花250位	1932750 pt
箱崎星梨花260位	1808492 pt
箱崎星梨花270位	1400470 pt
箱崎星梨花280位	881654 pt
箱崎星梨花290位	413706 pt
箱崎星梨花300位	315105 pt
野々原茜200位	1455428 pt
野々原茜210位	1434172 pt
野々原茜220位	1411957 pt
野々原茜230位	1398182 pt
野々原茜240位	1365459 pt
野々原茜250位	1339385 pt
野々原茜260位	1245945 pt
野々原茜270位	1144363 pt
野々原茜280位	788751 pt
野々原茜290位	637923 pt
野々原茜300位	434899 pt
望月杏奈200位	2413759 pt
望月杏奈210位	2400420 pt
望月杏奈220位	2382911 pt
望月杏奈230位	2358795 pt
望月杏奈240位	2333902 pt
望月杏奈250位	2308632 pt
望月杏奈260位	2103791 pt
望月杏奈270位	1371431 pt
望月杏奈280位	748656 pt
望月杏奈290位	459126 pt
望月杏奈300位	337030 pt
ロコ200位	1860196 pt
ロコ210位	1831844 pt
ロコ220位	1813409 pt
ロコ230位	1806195 pt
ロコ240位	1779845 pt
ロコ250位	1740972 pt
ロコ260位	1669477 pt
ロコ270位	1096896 pt
ロコ280位	576863 pt
ロコ290位	475884 pt
ロコ300位	346017 pt
七尾百合子200位	2666033 pt
七尾百合子210位	2555776 pt
七尾百合子220位	2509559 pt
七尾百合子230位	2486564 pt
七尾百合子240位	2427863 pt
七尾百合子250位	2302521 pt
七尾百合子260位	1944780 pt
七尾百合子270位	1444577 pt
七尾百合子280位	858830 pt
七尾百合子290位	519955 pt
七尾百合子300位	386138 pt
高山紗代子200位	2133177 pt
高山紗代子210位	2110031 pt
高山紗代子220位	2093698 pt
高山紗代子230位	2059987 pt
高山紗代子240位	2008043 pt
高山紗代子250位	1971940 pt
高山紗代子260位	1639579 pt
高山紗代子270位	1180149 pt
高山紗代子280位	799056 pt
高山紗代子290位	491936 pt
高山紗代子300位	394550 pt
松田亜利沙200位	1737089 pt
松田亜利沙210位	1718238 pt
松田亜利沙220位	1709682 pt
松田亜利沙230位	1693095 pt
松田亜利沙240位	1663457 pt
松田亜利沙250位	1636548 pt
松田亜利沙260位	1489428 pt
松田亜利沙270位	695563 pt
松田亜利沙280位	565044 pt
松田亜利沙290位	418358 pt
松田亜利沙300位	313996 pt
高坂海美200位	2265623 pt
高坂海美210位	2245193 pt
高坂海美220位	2211086 pt
高坂海美230位	2190454 pt
高坂海美240位	2171363 pt
高坂海美250位	2109339 pt
高坂海美260位	1906518 pt
高坂海美270位	1424388 pt
高坂海美280位	877057 pt
高坂海美290位	513393 pt
高坂海美300位	365271 pt
中谷育200位	1559263 pt
中谷育210位	1545297 pt
中谷育220位	1528420 pt
中谷育230位	1513542 pt
中谷育240位	1504539 pt
中谷育250位	1489764 pt
中谷育260位	1424634 pt
中谷育270位	1171772 pt
中谷育280位	868616 pt
中谷育290位	547236 pt
中谷育300位	396253 pt
天空橋朋花200位	2172583 pt
天空橋朋花210位	2158065 pt
天空橋朋花220位	2141330 pt
天空橋朋花230位	2113624 pt
天空橋朋花240位	2089902 pt
天空橋朋花250位	2052444 pt
天空橋朋花260位	1978877 pt
天空橋朋花270位	1474801 pt
天空橋朋花280位	723032 pt
天空橋朋花290位	372037 pt
天空橋朋花300位	281847 pt
エミリー200位	1638190 pt
エミリー210位	1618625 pt
エミリー220位	1599061 pt
エミリー230位	1566707 pt
