146位のチームA pt	2,232,449 pt
146位のチームB pt	6,257,600 pt
146位のチームC pt	3,898,134 pt
146位のチームD pt	4,437,292 pt
146位のチームE pt	4,579,294 pt
146位のチームF pt	7,928,530 pt
146位のチームG pt	3,015,839 pt
146位のチームH pt	4,631,171 pt
146位のチームI pt	5,341,924 pt
146位のチームJ pt	5,038,470 pt
※10/31 00:00 集計時点

100位のチームA pt	2,350,349 pt
100位のチームB pt	4,068,517 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,810,793 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,799,427 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,259,856 pt
※10/29(土)17:11 集計時点
100位のチームA pt	2,350,349 pt
100位のチームB pt	4,069,354 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,810,793 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,799,427 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,259,856 pt
※10/29(土) 17:11 集計時点BY SKDN
100位のチームA pt	2,350,349 pt
100位のチームB pt	4,069,354 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,810,793 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,799,427 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,259,856 pt
※10/29(土)17:11 集計時点
100位のチームA pt	2,350,349 pt
100位のチームB pt	4,069,455 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,811,410 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,799,427 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,260,210 pt
※10/29(土)17:12 集計時点
100位のチームA pt	2,350,349 pt
100位のチームB pt	4,069,456 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,811,411 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,800,982 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,260,210 pt
※10/29(土) 17:12 集計時点BY SKDN
100位のチームA pt	2,350,349 pt
100位のチームB pt	4,069,456 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,811,411 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,800,982 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,260,210 pt
※10/29(土)17:12 集計時点
100位のチームA pt	2,350,349 pt
100位のチームB pt	4,069,557 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,811,512 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,800,982 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:13 集計時点
100位のチームA pt	2,350,349 pt
100位のチームB pt	4,069,559 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,813,706 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:13 集計時点BY SKDN
100位のチームA pt	2,350,349 pt
100位のチームB pt	4,069,559 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,813,706 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:13 集計時点
100位のチームA pt	2,350,349 pt
100位のチームB pt	4,071,460 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,813,706 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:14 集計時点
100位のチームA pt	2,350,349 pt
100位のチームB pt	4,071,561 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,813,806 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:15 集計時点BY SKDN
100位のチームA pt	2,350,349 pt
100位のチームB pt	4,071,561 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,813,806 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:15 集計時点
100位のチームA pt	2,350,349 pt
100位のチームB pt	4,071,563 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,813,808 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,801,269 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,939,905 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:15 集計時点
100位のチームA pt	2,352,232 pt
100位のチームB pt	4,071,663 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,813,908 pt
100位のチームE pt	3,159,225 pt
100位のチームF pt	4,801,269 pt
