[2016]
宮尾美也	1	1079763656
真壁瑞希	2	880535758
高山紗代子	3	860276907
百瀬莉緒	5	717678212
双海真美	6	573443250
ジュリア	4	555241032
松田亜利沙	7	521683718
野々原茜	9	450816662
秋月律子	8	423503845
三浦あずさ	10	379008852
田中琴葉	11	316212098
※10/31 00:01 集計時点 BYそくどん 0,23:59 集計時点 BYそくどん

宮尾美也	1	1079204351
田中琴葉	11	316034796
真壁瑞希	2	879877662
高山紗代子	3	859793708
百瀬莉緒	5	717040946
双海真美	6	573258036
ジュリア	4	554796029
松田亜利沙	7	521389672
野々原茜	9	450309967
秋月律子	8	423090476
三浦あずさ	10	378566397
※10/30 23:58 集計時点 BYそくどん

田中琴葉	11	315884197
宮尾美也	1	1078600980
真壁瑞希	2	879033972
高山紗代子	3	859415196
百瀬莉緒	5	716420185
双海真美	6	573066802
ジュリア	4	554335589
松田亜利沙	7	521213554
野々原茜	9	449929752
秋月律子	8	422909684
三浦あずさ	10	378220452
※10/30 23:57 集計時点 BYそくどん

田中琴葉	11	315714173
宮尾美也	1	1078022569
真壁瑞希	2	878428353
高山紗代子	3	858874370
百瀬莉緒	5	715995190
双海真美	6	572834369
ジュリア	4	553677603
松田亜利沙	7	520933196
野々原茜	9	449609313
秋月律子	8	422765574
三浦あずさ	10	377888381
※10/30 23:56 集計時点 BYそくどん

田中琴葉	11	315582095
宮尾美也	1	1077292374
真壁瑞希	2	877841763
高山紗代子	3	858422546
百瀬莉緒	5	715547345
双海真美	6	572584485
ジュリア	4	553200075
松田亜利沙	7	520691368
野々原茜	9	449351656
秋月律子	8	422622649
三浦あずさ	10	377553219
※10/30 23:55 集計時点 BYそくどん

田中琴葉	11	315339685
宮尾美也	1	1076632261
真壁瑞希	2	877151147
高山紗代子	3	857984518
百瀬莉緒	5	714996691
双海真美	6	572328439
ジュリア	4	552512600
松田亜利沙	7	520463245
野々原茜	9	448874166
秋月律子	8	422414931
三浦あずさ	10	377215159
※10/30 23:54 集計時点 BYそくどん

田中琴葉	11	315040557
宮尾美也	1	1076037424
真壁瑞希	2	876411762
高山紗代子	3	857534964
百瀬莉緒	5	714557866
双海真美	6	571971714
ジュリア	4	552124496
松田亜利沙	7	520248896
野々原茜	9	448567253
秋月律子	8	422259894
三浦あずさ	10	376897291
※10/30 23:53 集計時点 BYそくどん

田中琴葉	11	314760822
宮尾美也	1	1075219703
真壁瑞希	2	875636908
高山紗代子	3	857072516
百瀬莉緒	5	713960082
