チームA21位	1220794 pt
チームA22位	1211965 pt
チームA23位	1209021 pt
チームA24位	1206725 pt
チームA25位	1200690 pt
チームA26位	1198092 pt
チームA27位	1162929 pt
チームA28位	1128682 pt
チームA29位	1118422 pt
チームA30位	1094017 pt
チームA31位	1083109 pt
チームA32位	1068122 pt
チームA33位	1067148 pt
チームA34位	1054559 pt
チームA35位	1050261 pt
チームA36位	1036924 pt
チームA37位	947673 pt
チームA38位	942097 pt
チームA39位	942024 pt
チームA40位	933103 pt
チームA41位	929154 pt
チームA42位	912007 pt
チームA43位	911726 pt
チームA44位	899352 pt
チームA45位	887848 pt
チームA46位	885194 pt
チームA47位	869458 pt
チームA48位	830343 pt
チームA49位	805618 pt
チームA50位	800265 pt
チームB21位	1944737 pt
チームB22位	1929447 pt
チームB23位	1926665 pt
チームB24位	1925937 pt
チームB25位	1878912 pt
チームB26位	1871061 pt
チームB27位	1865696 pt
チームB28位	1740807 pt
チームB29位	1723633 pt
チームB30位	1711154 pt
チームB31位	1567365 pt
チームB32位	1543780 pt
チームB33位	1541150 pt
チームB34位	1501480 pt
チームB35位	1478349 pt
チームB36位	1453541 pt
チームB37位	1438956 pt
チームB38位	1415281 pt
チームB39位	1396276 pt
チームB40位	1358205 pt
チームB41位	1331245 pt
チームB42位	1307014 pt
チームB43位	1299329 pt
チームB44位	1297729 pt
チームB45位	1286290 pt
チームB46位	1261566 pt
チームB47位	1258662 pt
チームB48位	1255384 pt
チームB49位	1247485 pt
チームB50位	1247393 pt
チームC21位	1504513 pt
チームC22位	1500991 pt
チームC23位	1489490 pt
チームC24位	1468884 pt
チームC25位	1466566 pt
チームC26位	1455292 pt
チームC27位	1418186 pt
チームC28位	1395260 pt
チームC29位	1351961 pt
チームC30位	1321982 pt
チームC31位	1305057 pt
チームC32位	1183886 pt
チームC33位	1178425 pt
チームC34位	1178146 pt
チームC35位	1173333 pt
チームC36位	1161314 pt
チームC37位	1154461 pt
チームC38位	1146331 pt
チームC39位	1132649 pt
チームC40位	1130425 pt
チームC41位	1120805 pt
チームC42位	1098909 pt
チームC43位	1091694 pt
チームC44位	1075723 pt
チームC45位	1065426 pt
チームC46位	1062881 pt
チームC47位	1060800 pt
チームC48位	1053177 pt
チームC49位	1043315 pt
チームC50位	1037354 pt
チームD21位	1508951 pt
チームD22位	1505370 pt
チームD23位	1503261 pt
チームD24位	1492191 pt
チームD25位	1491469 pt
チームD26位	1487132 pt
チームD27位	1471198 pt
チームD28位	1438772 pt
チームD29位	1411087 pt
チームD30位	1410502 pt
チームD31位	1373090 pt
チームD32位	1327455 pt
チームD33位	1312898 pt
チームD34位	1293667 pt
チームD35位	1253518 pt
チームD36位	1248238 pt
チームD37位	1213488 pt
チームD38位	1201280 pt
チームD39位	1176245 pt
チームD40位	1153593 pt
チームD41位	1144798 pt
チームD42位	1136561 pt
チームD43位	1128666 pt
チームD44位	1115965 pt
チームD45位	1080997 pt
チームD46位	1080031 pt
チームD47位	1068953 pt
チームD48位	1034944 pt
チームD49位	1033043 pt
チームD50位	1025717 pt
チームE21位	1532807 pt
チームE22位	1522118 pt
チームE23位	1521646 pt
チームE24位	1503768 pt
チームE25位	1485551 pt
チームE26位	1482188 pt
チームE27位	1434389 pt
チームE28位	1431559 pt
チームE29位	1430794 pt
チームE30位	1411241 pt
チームE31位	1408787 pt
チームE32位	1404310 pt
チームE33位	1401218 pt
チームE34位	1378154 pt
チームE35位	1366817 pt
チームE36位	1326608 pt
チームE37位	1286143 pt
チームE38位	1262560 pt
チームE39位	1235499 pt
チームE40位	1227129 pt
チームE41位	1189801 pt
チームE42位	1143479 pt
チームE43位	1123337 pt
チームE44位	1099163 pt
チームE45位	1097319 pt
チームE46位	1090898 pt
チームE47位	1081847 pt
チームE48位	1079944 pt
チームE49位	1066906 pt
チームE50位	1063383 pt
チームF21位	1908458 pt
チームF22位	1906531 pt
チームF23位	1890320 pt
チームF24位	1852859 pt
チームF25位	1849504 pt
チームF26位	1839775 pt
チームF27位	1831613 pt
チームF28位	1822389 pt
チームF29位	1813419 pt
チームF30位	1811506 pt
チームF31位	1756459 pt
チームF32位	1748803 pt
チームF33位	1744799 pt
チームF34位	1731667 pt
チームF35位	1709663 pt
チームF36位	1615521 pt
チームF37位	1591348 pt
チームF38位	1583871 pt
チームF39位	1559931 pt
チームF40位	1547460 pt
チームF41位	1525750 pt
チームF42位	1524902 pt
チームF43位	1517847 pt
チームF44位	1517445 pt
チームF45位	1513491 pt
チームF46位	1493699 pt
チームF47位	1489902 pt
チームF48位	1486767 pt
チームF49位	1481054 pt
チームF50位	1463273 pt
チームG21位	1056746 pt
チームG22位	1031794 pt
チームG23位	1017636 pt
チームG24位	1016461 pt
チームG25位	1007139 pt
チームG26位	1005465 pt
チームG27位	1000067 pt
チームG28位	998101 pt
チームG29位	969652 pt
チームG30位	967298 pt
チームG31位	929913 pt
チームG32位	927669 pt
チームG33位	900357 pt
チームG34位	879225 pt
チームG35位	876906 pt
チームG36位	842419 pt
チームG37位	825216 pt
チームG38位	815153 pt
チームG39位	770042 pt
チームG40位	749645 pt
チームG41位	727541 pt
チームG42位	721657 pt
チームG43位	699218 pt
チームG44位	692202 pt
チームG45位	681741 pt
チームG46位	675071 pt
チームG47位	670273 pt
チームG48位	666435 pt
チームG49位	663820 pt
チームG50位	661165 pt
チームH21位	1257894 pt
チームH22位	1249676 pt
チームH23位	1245074 pt
