チームA101位	2622832 pt
チームA102位	2614318 pt
チームA103位	2612786 pt
チームA104位	2609542 pt
チームA105位	2604378 pt
チームA106位	2604182 pt
チームA107位	2601479 pt
チームA108位	2596412 pt
チームA109位	2592871 pt
チームA110位	2546958 pt
チームA111位	2539777 pt
チームA112位	2533163 pt
チームA113位	2509312 pt
チームA114位	2473013 pt
チームA115位	2456771 pt
チームA116位	2434438 pt
チームA117位	2425282 pt
チームA118位	2400595 pt
チームA119位	2394710 pt
チームA120位	2394044 pt
チームA121位	2383616 pt
チームA122位	2376800 pt
チームA123位	2353406 pt
チームA124位	2352232 pt
チームA125位	2260235 pt
チームA126位	2100875 pt
チームA127位	2014045 pt
チームA128位	2010992 pt
チームA129位	2007010 pt
チームA130位	2003794 pt
チームB101位	4516334 pt
チームB102位	4514799 pt
チームB103位	4510218 pt
チームB104位	4508700 pt
チームB105位	4502549 pt
チームB106位	4497153 pt
チームB107位	4494090 pt
チームB108位	4487433 pt
チームB109位	4475755 pt
チームB110位	4468928 pt
チームB111位	4464543 pt
チームB112位	4454761 pt
チームB113位	4454288 pt
チームB114位	4440898 pt
チームB115位	4431139 pt
チームB116位	4405795 pt
チームB117位	4403164 pt
チームB118位	4401822 pt
チームB119位	4398494 pt
チームB120位	4389525 pt
チームB121位	4389433 pt
チームB122位	4387734 pt
チームB123位	4385329 pt
チームB124位	4374525 pt
チームB125位	4359401 pt
チームB126位	4359131 pt
チームB127位	4307377 pt
チームB128位	4305764 pt
チームB129位	4286646 pt
チームB130位	4274025 pt
チームC101位	2899728 pt
チームC102位	2895452 pt
チームC103位	2882729 pt
チームC104位	2878493 pt
チームC105位	2873827 pt
チームC106位	2865271 pt
チームC107位	2857382 pt
チームC108位	2854922 pt
チームC109位	2853159 pt
チームC110位	2846196 pt
チームC111位	2827630 pt
チームC112位	2819177 pt
チームC113位	2809757 pt
チームC114位	2808532 pt
チームC115位	2800189 pt
チームC116位	2787758 pt
チームC117位	2777633 pt
チームC118位	2753313 pt
チームC119位	2739689 pt
チームC120位	2734399 pt
チームC121位	2703623 pt
チームC122位	2696661 pt
チームC123位	2688905 pt
チームC124位	2681240 pt
チームC125位	2624971 pt
チームC126位	2617046 pt
チームC127位	2591576 pt
チームC128位	2589212 pt
チームC129位	2578923 pt
チームC130位	2573472 pt
チームD101位	3209330 pt
チームD102位	3208244 pt
チームD103位	3202467 pt
チームD104位	3187260 pt
チームD105位	3180724 pt
チームD106位	3179898 pt
チームD107位	3171767 pt
チームD108位	3163526 pt
チームD109位	3159614 pt
チームD110位	3158995 pt
チームD111位	3157112 pt
チームD112位	3151059 pt
チームD113位	3128154 pt
チームD114位	3107451 pt
チームD115位	3102889 pt
チームD116位	3098350 pt
チームD117位	3098066 pt
チームD118位	3095942 pt
チームD119位	3085721 pt
チームD120位	3077289 pt
チームD121位	3068956 pt
チームD122位	3063903 pt
チームD123位	3062085 pt
チームD124位	3061084 pt
チームD125位	3036045 pt
チームD126位	3026363 pt
チームD127位	3025431 pt
チームD128位	3013775 pt
チームD129位	3009766 pt
チームD130位	3004414 pt
チームE101位	3459724 pt
チームE102位	3452055 pt
チームE103位	3451246 pt
